T_e,Volume,E_F,N_Ef,gamma,C_e,v_F,tau_e,k_e,k_lat,lambda,Log10_Ge,Composition
100,59.6,28.981,0.929,0.567,8.015758,2.396,16.113,0.02321,6.742913,2.2634,-5.751473,AlCrFeCoNi
200,59.61,28.982,0.93,0.569,16.026932,2.471,18.603,0.154747,3.361189,0.9802,-9.457885,AlCrFeCoNi
300,59.63,28.983,0.931,0.568,24.030523,2.573,16.346,0.285066,2.245305,0.7437,-13.033218,AlCrFeCoNi
400,59.66,28.983,0.931,0.566,32.026321,2.541,13.579,0.335095,1.690344,0.6714,-16.600629,AlCrFeCoNi
500,59.68,28.983,0.931,0.565,40.014133,2.534,11.182,0.350883,1.357377,0.6523,-20.154063,AlCrFeCoNi
600,59.7,28.983,0.931,0.564,47.993601,2.557,9.354,0.359572,1.135094,0.6498,-23.703815,AlCrFeCoNi
700,59.73,28.982,0.93,0.562,55.96443,2.55,7.979,0.354332,0.976095,0.6529,-27.254287,AlCrFeCoNi
800,59.76,28.982,0.93,0.561,63.926469,2.575,6.919,0.355411,0.85675,0.6588,-30.80573,AlCrFeCoNi
900,59.78,28.982,0.93,0.56,71.879738,2.584,6.078,0.350028,0.7639,0.6667,-34.357604,AlCrFeCoNi
1000,59.81,28.982,0.93,0.559,79.824368,2.569,5.389,0.336702,0.689587,0.6767,-37.909316,AlCrFeCoNi
3000,60.31,28.971,0.919,0.559,237.123041,2.71,1.407,0.235022,0.230511,0.8639,-41.447806,AlCrFeCoNi
6000,61.08,28.95,0.9,0.559,468.151558,2.878,0.744,0.291013,0.115739,0.8172,-45.048023,AlCrFeCoNi
9000,61.84,28.938,0.888,0.559,693.106482,3.003,0.536,0.362554,0.077479,0.7553,-48.647699,AlCrFeCoNi
12000,62.6,28.933,0.884,0.559,911.405036,3.111,0.425,0.425637,0.058347,0.714,-52.249289,AlCrFeCoNi
15000,63.36,28.93,0.882,0.559,1120.521941,3.208,0.356,0.482643,0.046866,0.683,-55.86229,AlCrFeCoNi
18000,64.12,28.926,0.878,0.559,1314.107459,3.298,0.307,0.530319,0.039211,0.6598,-59.486821,AlCrFeCoNi
21000,64.88,28.919,0.872,0.559,1484.376914,3.371,0.27,0.561276,0.033742,0.6432,-63.121694,AlCrFeCoNi
24000,65.65,28.91,0.864,0.559,1625.374988,2.333,0.24,0.266547,0.029639,0.631,-66.767158,AlCrFeCoNi
27000,66.41,28.9,0.856,0.559,1734.403747,2.321,0.217,0.257487,0.026448,0.6208,-70.424182,AlCrFeCoNi
30000,67.17,28.89,0.849,0.559,1811.810013,2.494,0.198,0.286804,0.023893,0.6114,-74.093106,AlCrFeCoNi
100,69.56,22.015,1.663,0.639,5.206203,1.25,51.366,0.047595,1.836971,0.71,-5.894235,Co-0.05_Xx3-0.95
200,69.6,22.014,1.663,0.66,10.405629,1.259,27.019,0.052928,0.872643,0.6749,-9.652476,Co-0.05_Xx3-0.95
300,69.66,22.014,1.663,0.665,15.596146,1.283,19.096,0.06104,0.57475,0.6366,-13.379883,Co-0.05_Xx3-0.95
400,69.72,22.013,1.663,0.666,20.777833,1.293,15.117,0.068155,0.429663,0.6031,-17.095382,Co-0.05_Xx3-0.95
500,69.79,22.013,1.664,0.666,25.950874,1.3,12.5,0.072891,0.344406,0.5835,-20.799498,Co-0.05_Xx3-0.95
600,69.85,22.012,1.664,0.663,31.115587,1.302,10.632,0.075662,0.288823,0.5717,-24.497435,Co-0.05_Xx3-0.95
700,69.91,22.012,1.664,0.659,36.272436,1.322,9.252,0.080033,0.250142,0.5631,-28.193041,Co-0.05_Xx3-0.95
800,69.97,22.012,1.664,0.654,41.421985,1.328,8.195,0.082371,0.221946,0.5563,-31.887621,Co-0.05_Xx3-0.95
900,70.03,22.011,1.664,0.647,46.56485,1.339,7.355,0.085113,0.200727,0.5509,-35.581565,Co-0.05_Xx3-0.95
1000,70.08,22.011,1.664,0.639,51.701637,1.342,6.665,0.086361,0.184218,0.5472,-39.274635,Co-0.05_Xx3-0.95
3000,71.17,22.015,1.662,0.639,152.739979,2.118,2.168,0.203318,0.061722,0.5607,-42.929126,Co-0.05_Xx3-0.95
6000,72.8,22.021,1.66,0.639,298.847779,1.882,1.124,0.167202,0.031095,0.5405,-46.657927,Co-0.05_Xx3-0.95
9000,74.43,22.013,1.664,0.639,441.308012,1.823,0.777,0.164123,0.020883,0.5213,-50.453151,Co-0.05_Xx3-0.95
12000,76.06,22.008,1.666,0.639,581.166871,1.882,0.6,0.181412,0.015776,0.5064,-54.278015,Co-0.05_Xx3-0.95
15000,77.69,22.017,1.661,0.639,716.16152,1.975,0.493,0.205661,0.01271,0.4932,-58.119474,Co-0.05_Xx3-0.95
18000,79.32,22.038,1.652,0.639,840.17879,2.068,0.423,0.231605,0.010665,0.4788,-61.975552,Co-0.05_Xx3-0.95
21000,80.94,22.07,1.642,0.639,945.537386,2.158,0.374,0.256678,0.009204,0.4632,-65.845653,Co-0.05_Xx3-0.95
24000,82.57,22.111,1.627,0.639,1026.380263,1.615,0.339,0.144748,0.008107,0.447,-69.728238,Co-0.05_Xx3-0.95
27000,84.2,22.158,1.603,0.639,1080.337489,1.939,0.313,0.207221,0.007253,0.4305,-73.621911,Co-0.05_Xx3-0.95
30000,85.83,22.211,1.579,0.639,1108.300714,2.124,0.293,0.244326,0.00657,0.4139,-77.529234,Co-0.05_Xx3-0.95
100,69.64,22.022,1.663,0.649,5.199343,1.688,49.768,0.081878,1.753203,0.7328,-5.865629,Co-0.0_Xx3-1.0
200,69.68,22.022,1.663,0.667,10.392033,1.806,25.372,0.097065,0.837161,0.7187,-9.626017,Co-0.0_Xx3-1.0
300,69.74,22.021,1.663,0.671,15.575882,1.794,19.048,0.118637,0.553059,0.6382,-13.37809,Co-0.0_Xx3-1.0
400,69.8,22.02,1.664,0.671,20.750866,1.813,15.241,0.135679,0.414685,0.5982,-17.099285,Co-0.0_Xx3-1.0
500,69.86,22.02,1.664,0.669,25.917281,1.798,12.509,0.139334,0.333465,0.5831,-20.801242,Co-0.0_Xx3-1.0
600,69.93,22.02,1.664,0.665,31.075572,1.795,10.56,0.142043,0.280601,0.5756,-24.496808,Co-0.0_Xx3-1.0
700,69.99,22.019,1.665,0.66,36.226274,1.809,9.145,0.146619,0.243866,0.5697,-28.191091,Co-0.0_Xx3-1.0
800,70.04,22.019,1.665,0.653,41.369995,1.809,8.075,0.148946,0.217152,0.5645,-31.885161,Co-0.0_Xx3-1.0
900,70.1,22.019,1.665,0.645,46.507374,1.812,7.228,0.151033,0.197107,0.5606,-35.578716,Co-0.0_Xx3-1.0
1000,70.15,22.019,1.665,0.636,51.639048,1.794,6.53,0.148916,0.181413,0.5585,-39.271407,Co-0.0_Xx3-1.0
3000,71.2,22.024,1.661,0.636,152.639494,1.928,2.099,0.159205,0.060771,0.5791,-42.929031,Co-0.0_Xx3-1.0
