T_e,Volume,E_F,N_Ef,gamma,C_e,v_F,tau_e,k_e,k_lat,lambda,Log10_Ge,Composition,Al,Cr,Fe,Co,Ni,Mn,Cu,logT,T_norm,Ce_over_T,T_tau,k_ratio
100,59.6,28.981,0.929,0.567,8.015758,2.396,16.113,0.02321,6.742913,2.2634,-5.751473,AlCrFeCoNi,0.2,0.2,0.2,0.2,0.2,0.0,0.0,2.0,100,0.08015758,1611.3,0.0034421319921921
200,59.61,28.982,0.93,0.569,16.026932,2.471,18.603,0.154747,3.361189,0.9802,-9.457885,AlCrFeCoNi,0.2,0.2,0.2,0.2,0.2,0.0,0.0,2.3010299956639813,200,0.08013466,3720.6000000000004,0.046039349159077585
300,59.63,28.983,0.931,0.568,24.030523,2.573,16.346,0.285066,2.245305,0.7437,-13.033218,AlCrFeCoNi,0.2,0.2,0.2,0.2,0.2,0.0,0.0,2.4771212547196626,300,0.08010174333333332,4903.8,0.12696086858539546
400,59.66,28.983,0.931,0.566,32.026321,2.541,13.579,0.335095,1.690344,0.6714,-16.600629,AlCrFeCoNi,0.2,0.2,0.2,0.2,0.2,0.0,0.0,2.6020599913279625,400,0.0800658025,5431.6,0.19824059585469236
500,59.68,28.983,0.931,0.565,40.014133,2.534,11.182,0.350883,1.357377,0.6523,-20.154063,AlCrFeCoNi,0.2,0.2,0.2,0.2,0.2,0.0,0.0,2.6989700043360187,500,0.080028266,5591.0,0.25850057979427987
600,59.7,28.983,0.931,0.564,47.993601,2.557,9.354,0.359572,1.135094,0.6498,-23.703815,AlCrFeCoNi,0.2,0.2,0.2,0.2,0.2,0.0,0.0,2.7781512503836434,600,0.079989335,5612.4,0.3167770098538008
700,59.73,28.982,0.93,0.562,55.96443,2.55,7.979,0.354332,0.976095,0.6529,-27.254287,AlCrFeCoNi,0.2,0.2,0.2,0.2,0.2,0.0,0.0,2.845098040014257,700,0.07994918571428572,5585.3,0.3630093761269383
800,59.76,28.982,0.93,0.561,63.926469,2.575,6.919,0.355411,0.85675,0.6588,-30.80573,AlCrFeCoNi,0.2,0.2,0.2,0.2,0.2,0.0,0.0,2.9030899869919438,800,0.07990808625,5535.2,0.41483581577377787
900,59.78,28.982,0.93,0.56,71.879738,2.584,6.078,0.350028,0.7639,0.6667,-34.357604,AlCrFeCoNi,0.2,0.2,0.2,0.2,0.2,0.0,0.0,2.9542425094393248,900,0.07986637555555556,5470.2,0.4582112079968477
1000,59.81,28.982,0.93,0.559,79.824368,2.569,5.389,0.336702,0.689587,0.6767,-37.909316,AlCrFeCoNi,0.2,0.2,0.2,0.2,0.2,0.0,0.0,3.0,1000,0.079824368,5389.0,0.4882654570555172
3000,60.31,28.971,0.919,0.559,237.123041,2.71,1.407,0.235022,0.230511,0.8639,-41.447806,AlCrFeCoNi,0.2,0.2,0.2,0.2,0.2,0.0,0.0,3.4771212547196626,3000,0.07904101366666667,4221.0,1.019565141944888
6000,61.08,28.95,0.9,0.559,468.151558,2.878,0.744,0.291013,0.115739,0.8172,-45.048023,AlCrFeCoNi,0.2,0.2,0.2,0.2,0.2,0.0,0.0,3.7781512503836434,6000,0.07802525966666667,4464.0,2.514368411957837
9000,61.84,28.938,0.888,0.559,693.106482,3.003,0.536,0.362554,0.077479,0.7553,-48.647699,AlCrFeCoNi,0.2,0.2,0.2,0.2,0.2,0.0,0.0,3.9542425094393248,9000,0.07701183133333334,4824.0,4.67932369643779
12000,62.6,28.933,0.884,0.559,911.405036,3.111,0.425,0.425637,0.058347,0.714,-52.249289,AlCrFeCoNi,0.2,0.2,0.2,0.2,0.2,0.0,0.0,4.079181246047625,12000,0.07595041966666667,5100.0,7.29480016453006
15000,63.36,28.93,0.882,0.559,1120.521941,3.208,0.356,0.482643,0.046866,0.683,-55.86229,AlCrFeCoNi,0.2,0.2,0.2,0.2,0.2,0.0,0.0,4.176091259055681,15000,0.07470146273333333,5340.0,10.298141549491113
18000,64.12,28.926,0.878,0.559,1314.107459,3.298,0.307,0.530319,0.039211,0.6598,-59.486821,AlCrFeCoNi,0.2,0.2,0.2,0.2,0.2,0.0,0.0,4.2552725051033065,18000,0.07300596994444444,5526.0,13.524405794144648
21000,64.88,28.919,0.872,0.559,1484.376914,3.371,0.27,0.561276,0.033742,0.6432,-63.121694,AlCrFeCoNi,0.2,0.2,0.2,0.2,0.2,0.0,0.0,4.3222192947339195,21000,0.07068461495238094,5670.0,16.633849983700323
24000,65.65,28.91,0.864,0.559,1625.374988,2.333,0.24,0.266547,0.029639,0.631,-66.767158,AlCrFeCoNi,0.2,0.2,0.2,0.2,0.2,0.0,0.0,4.380211241711606,24000,0.06772395783333333,5760.0,8.992813765182186
27000,66.41,28.9,0.856,0.559,1734.403747,2.321,0.217,0.257487,0.026448,0.6208,-70.424182,AlCrFeCoNi,0.2,0.2,0.2,0.2,0.2,0.0,0.0,4.431363764158987,27000,0.06423717581481482,5859.0,9.73522628454762
30000,67.17,28.89,0.849,0.559,1811.810013,2.494,0.198,0.286804,0.023893,0.6114,-74.093106,AlCrFeCoNi,0.2,0.2,0.2,0.2,0.2,0.0,0.0,4.477121254719663,30000,0.0603936671,5940.0,12.003180714823804
100,69.56,22.015,1.663,0.639,5.206203,1.25,51.366,0.047595,1.836971,0.71,-5.894235,Co-0.05_Xx3-0.95,0.3166666666666666,0.3166666666666666,0.3166666666666666,0.05,0.0,0.0,0.0,2.0,100,0.05206203,5136.6,0.025909485827764388
