# SYSTEM: AlCrFeCoNi                         
#     Crystal structure:  face centered cubic
#     Lattice parameter(s): a= 6.1985 a.u.   
#     Mass: 50.4899 a.m.u.                   
#     Density of solid: 9502.7 kg m^-3       
#     Bulk modulus: 618.478 GPa              
#     Young modulus: 982.448 GPa             
#     Shear modulus: 397.671 GPa             
#     Debye temperture: 1032.7  K 

              
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        59.6         28.981      0.929              0.567      8.015758          2.396            16.113       0.02321            6.742913           2.2634      -5.751473      
200        59.61        28.982      0.93               0.569      16.026932         2.471            18.603       0.154747           3.361189           0.9802      -9.457885      
300        59.63        28.983      0.931              0.568      24.030523         2.573            16.346       0.285066           2.245305           0.7437      -13.033218     
400        59.66        28.983      0.931              0.566      32.026321         2.541            13.579       0.335095           1.690344           0.6714      -16.600629     
500        59.68        28.983      0.931              0.565      40.014133         2.534            11.182       0.350883           1.357377           0.6523      -20.154063     
600        59.7         28.983      0.931              0.564      47.993601         2.557            9.354        0.359572           1.135094           0.6498      -23.703815     
700        59.73        28.982      0.93               0.562      55.96443          2.55             7.979        0.354332           0.976095           0.6529      -27.254287     
800        59.76        28.982      0.93               0.561      63.926469         2.575            6.919        0.355411           0.85675            0.6588      -30.80573      
900        59.78        28.982      0.93               0.56       71.879738         2.584            6.078        0.350028           0.7639             0.6667      -34.357604     
1000       59.81        28.982      0.93               0.559      79.824368         2.569            5.389        0.336702           0.689587           0.6767      -37.909316     
3000       60.31        28.971      0.919              0.559      237.123041        2.71             1.407        0.235022           0.230511           0.8639      -41.447806     
6000       61.08        28.95       0.9                0.559      468.151558        2.878            0.744        0.291013           0.115739           0.8172      -45.048023     
9000       61.84        28.938      0.888              0.559      693.106482        3.003            0.536        0.362554           0.077479           0.7553      -48.647699     
12000      62.6         28.933      0.884              0.559      911.405036        3.111            0.425        0.425637           0.058347           0.714       -52.249289     
15000      63.36        28.93       0.882              0.559      1120.521941       3.208            0.356        0.482643           0.046866           0.683       -55.86229      
18000      64.12        28.926      0.878              0.559      1314.107459       3.298            0.307        0.530319           0.039211           0.6598      -59.486821     
21000      64.88        28.919      0.872              0.559      1484.376914       3.371            0.27         0.561276           0.033742           0.6432      -63.121694     
24000      65.65        28.91       0.864              0.559      1625.374988       2.333            0.24         0.266547           0.029639           0.631       -66.767158     
27000      66.41        28.9        0.856              0.559      1734.403747       2.321            0.217        0.257487           0.026448           0.6208      -70.424182     
30000      67.17        28.89       0.849              0.559      1811.810013       2.494            0.198        0.286804           0.023893           0.6114      -74.093106     


                                                                                     
# NOTES:                                                                                
#     u.c. : unit cell                                                                  
#     a.m.u. : atomic mass unit                                                         

                                                                                       
#     E_F: Fermi energy                                                                 
#     N(E_F): Electronic DOS at E_F                                                     
#     γ : Gruneisen paramater                                                           
#     C_e: Electronic specific heat                                                     
#     v_F: Fermi velocity                                                               
#     τ_e: Electron scattering time                                                     
#     κ_e: Electronic thermal conductivity                                              
#     κ_lat: Lattice thermal conductivity                                               
#     λ: Electron-phonon mass enhancement parameter                                     
#     G_e: Electron-phonon coupling factor                                              

                                                                                       
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                       
#      κ_e=v_F^2 C_e τ_e /3 
                                                           
          πℏλ < ω^2 >
#   G_e=-(----------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
              N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                   
