# SYSTEM: Co-0.05_Xx3-0.95                   
#     Crystal structure:  face centered cubic
#     Lattice parameter(s): a= 6.5251 a.u.   
#     Mass: 55.6299 a.m.u.                   
#     Density of solid: 8975.35 kg m^-3      
#     Bulk modulus: 292.985 GPa              
#     Young modulus: 453.529 GPa             
#     Shear modulus: 182.782 GPa             
#     Debye temperture: 675.657  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        69.56        22.015      1.663              0.639      5.206203          1.25             51.366       0.047595           1.836971           0.71        -5.894235      
200        69.6         22.014      1.663              0.66       10.405629         1.259            27.019       0.052928           0.872643           0.6749      -9.652476      
300        69.66        22.014      1.663              0.665      15.596146         1.283            19.096       0.06104            0.57475            0.6366      -13.379883     
400        69.72        22.013      1.663              0.666      20.777833         1.293            15.117       0.068155           0.429663           0.6031      -17.095382     
500        69.79        22.013      1.664              0.666      25.950874         1.3              12.5         0.072891           0.344406           0.5835      -20.799498     
600        69.85        22.012      1.664              0.663      31.115587         1.302            10.632       0.075662           0.288823           0.5717      -24.497435     
700        69.91        22.012      1.664              0.659      36.272436         1.322            9.252        0.080033           0.250142           0.5631      -28.193041     
800        69.97        22.012      1.664              0.654      41.421985         1.328            8.195        0.082371           0.221946           0.5563      -31.887621     
900        70.03        22.011      1.664              0.647      46.56485          1.339            7.355        0.085113           0.200727           0.5509      -35.581565     
1000       70.08        22.011      1.664              0.639      51.701637         1.342            6.665        0.086361           0.184218           0.5472      -39.274635     
3000       71.17        22.015      1.662              0.639      152.739979        2.118            2.168        0.203318           0.061722           0.5607      -42.929126     
6000       72.8         22.021      1.66               0.639      298.847779        1.882            1.124        0.167202           0.031095           0.5405      -46.657927     
9000       74.43        22.013      1.664              0.639      441.308012        1.823            0.777        0.164123           0.020883           0.5213      -50.453151     
12000      76.06        22.008      1.666              0.639      581.166871        1.882            0.6          0.181412           0.015776           0.5064      -54.278015     
15000      77.69        22.017      1.661              0.639      716.16152         1.975            0.493        0.205661           0.01271            0.4932      -58.119474     
18000      79.32        22.038      1.652              0.639      840.17879         2.068            0.423        0.231605           0.010665           0.4788      -61.975552     
21000      80.94        22.07       1.642              0.639      945.537386        2.158            0.374        0.256678           0.009204           0.4632      -65.845653     
24000      82.57        22.111      1.627              0.639      1026.380263       1.615            0.339        0.144748           0.008107           0.447       -69.728238     
27000      84.2         22.158      1.603              0.639      1080.337489       1.939            0.313        0.207221           0.007253           0.4305      -73.621911     
30000      85.83        22.211      1.579              0.639      1108.300714       2.124            0.293        0.244326           0.00657            0.4139      -77.529234     


                                                                                     
# NOTES:                                                                                
#     u.c. : unit cell                                                                  
#     a.m.u. : atomic mass unit                                                         

                                                                                       
#     E_F: Fermi energy                                                                 
#     N(E_F): Electronic DOS at E_F                                                     
#     γ : Gruneisen paramater                                                           
#     C_e: Electronic specific heat                                                     
#     v_F: Fermi velocity                                                               
#     τ_e: Electron scattering time                                                     
#     κ_e: Electronic thermal conductivity                                              
#     κ_lat: Lattice thermal conductivity                                               
#     λ: Electron-phonon mass enhancement parameter                                     
#     G_e: Electron-phonon coupling factor                                              

                                                                                       
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                       
#      κ_e=v_F^2 C_e τ_e /3 
                                                           
          πℏλ < ω^2 >
#   G_e=-(----------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
              N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                   
