# SYSTEM: Co-0.0_Xx3-1.0                     
#     Crystal structure:  face centered cubic
#     Lattice parameter(s): a= 6.5276 a.u.   
#     Mass: 55.5115 a.m.u.                   
#     Density of solid: 8946.17 kg m^-3      
#     Bulk modulus: 294.459 GPa              
#     Young modulus: 447.89 GPa              
#     Shear modulus: 179.891 GPa             
#     Debye temperture: 670.756  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        69.64        22.022      1.663              0.649      5.199343          1.688            49.768       0.081878           1.753203           0.7328      -5.865629      
200        69.68        22.022      1.663              0.667      10.392033         1.806            25.372       0.097065           0.837161           0.7187      -9.626017      
300        69.74        22.021      1.663              0.671      15.575882         1.794            19.048       0.118637           0.553059           0.6382      -13.37809      
400        69.8         22.02       1.664              0.671      20.750866         1.813            15.241       0.135679           0.414685           0.5982      -17.099285     
500        69.86        22.02       1.664              0.669      25.917281         1.798            12.509       0.139334           0.333465           0.5831      -20.801242     
600        69.93        22.02       1.664              0.665      31.075572         1.795            10.56        0.142043           0.280601           0.5756      -24.496808     
700        69.99        22.019      1.665              0.66       36.226274         1.809            9.145        0.146619           0.243866           0.5697      -28.191091     
800        70.04        22.019      1.665              0.653      41.369995         1.809            8.075        0.148946           0.217152           0.5645      -31.885161     
900        70.1         22.019      1.665              0.645      46.507374         1.812            7.228        0.151033           0.197107           0.5606      -35.578716     
1000       70.15        22.019      1.665              0.636      51.639048         1.794            6.53         0.148916           0.181413           0.5585      -39.271407     
3000       71.2         22.024      1.661              0.636      152.639494        1.928            2.099        0.159205           0.060771           0.5791      -42.929031     
6000       72.78        22.031      1.657              0.636      298.835574        1.874            1.103        0.160467           0.030608           0.551       -46.660342     
9000       74.35        22.023      1.662              0.636      441.461618        1.798            0.767        0.156201           0.020551           0.5283      -50.455002     
12000      75.93        22.018      1.665              0.636      581.581123        1.807            0.592        0.16386            0.015522           0.5127      -54.278009     
15000      77.5         22.026      1.66               0.636      716.992111        1.874            0.487        0.181796           0.012503           0.499       -58.116935     
18000      79.08        22.046      1.648              0.636      841.671236        1.953            0.418        0.203155           0.010489           0.4842      -61.969626     
21000      80.65        22.076      1.636              0.636      947.994033        2.027            0.371        0.223309           0.00905            0.4681      -65.836323     
24000      82.23        22.114      1.625              0.636      1030.08204        1.732            0.336        0.164363           0.00797            0.4515      -69.716391     
27000      83.8         22.16       1.607              0.636      1085.475596       1.827            0.31         0.181997           0.007129           0.4346      -73.607869     
30000      85.37        22.21       1.58               0.636      1114.944927       1.986            0.29         0.211736           0.006456           0.4177      -77.510147     


                                                                                     
# NOTES:                                                                                
#     u.c. : unit cell                                                                  
#     a.m.u. : atomic mass unit                                                         

                                                                                       
#     E_F: Fermi energy                                                                 
#     N(E_F): Electronic DOS at E_F                                                     
#     γ : Gruneisen paramater                                                           
#     C_e: Electronic specific heat                                                     
#     v_F: Fermi velocity                                                               
#     τ_e: Electron scattering time                                                     
#     κ_e: Electronic thermal conductivity                                              
#     κ_lat: Lattice thermal conductivity                                               
#     λ: Electron-phonon mass enhancement parameter                                     
#     G_e: Electron-phonon coupling factor                                              

                                                                                       
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                       
#      κ_e=v_F^2 C_e τ_e /3 
                                                           
          πℏλ < ω^2 >
#   G_e=-(----------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
              N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                   
