# SYSTEM: Co-0.15_Xx3-0.85                   
#     Crystal structure:  face centered cubic
#     Lattice parameter(s): a= 6.5208 a.u.   
#     Mass: 55.9776 a.m.u.                   
#     Density of solid: 9049.21 kg m^-3      
#     Bulk modulus: 289.865 GPa              
#     Young modulus: 471.162 GPa             
#     Shear modulus: 191.81 GPa              
#     Debye temperture: 690.657  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        69.41        21.981      1.677              0.57       5.219947          1.384            40.209       0.036832           2.336198           0.907       -5.855433      
200        69.45        21.982      1.677              0.591      10.433298         1.364            29.265       0.071926           1.110341           0.6231      -9.727267      
300        69.51        21.982      1.676              0.596      15.638077         1.336            20.479       0.075047           0.731924           0.5936      -13.441195     
400        69.56        21.983      1.676              0.598      20.834318         1.352            15.445       0.077583           0.546922           0.5903      -17.130669     
500        69.62        21.983      1.676              0.598      26.022285         1.359            12.445       0.079266           0.437434           0.5861      -20.819353     
600        69.68        21.983      1.676              0.597      31.202294         1.357            10.472       0.080294           0.365346           0.5804      -24.509091     
700        69.73        21.983      1.676              0.595      36.374651         1.342            9.08         0.0801             0.31451            0.5738      -28.199845     
800        69.79        21.983      1.676              0.593      41.53966          1.349            8.038        0.082441           0.276976           0.5671      -31.891119     
900        69.84        21.983      1.676              0.59       46.697624         1.341            7.223        0.082912           0.24823            0.561       -35.582379     
1000       69.9         21.983      1.676              0.586      51.848857         1.353            6.563        0.08583            0.225519           0.5557      -39.273439     
3000       70.97        21.987      1.675              0.586      153.168953        2.046            2.246        0.202009           0.075555           0.5412      -42.930194     
6000       72.57        21.991      1.673              0.586      299.881085        1.817            1.134        0.15873            0.03806            0.5357      -46.651875     
9000       74.18        21.981      1.677              0.586      443.267023        1.802            0.776        0.160799           0.025559           0.5217      -50.445114     
12000      75.79        21.978      1.678              0.586      584.281192        1.874            0.599        0.180354           0.019307           0.5071      -54.268438     
15000      77.39        21.989      1.674              0.586      720.478862        1.974            0.492        0.206401           0.015554           0.4938      -58.107805     
18000      79.          22.014      1.664              0.586      845.449224        2.073            0.422        0.233554           0.013051           0.4794      -61.960926     
21000      80.61        22.05       1.648              0.586      951.233539        2.164            0.374        0.258894           0.011262           0.464       -65.826014     
24000      82.21        22.094      1.624              0.586      1031.849305       1.607            0.339        0.143441           0.009919           0.448       -69.702321     
27000      83.82        22.145      1.603              0.586      1084.970765       1.92             0.312        0.203256           0.008874           0.4316      -73.592745     
30000      85.43        22.202      1.6                0.586      1111.645448       2.085            0.292        0.235028           0.008037           0.4152      -77.50162      


                                                                                     
# NOTES:                                                                                
#     u.c. : unit cell                                                                  
#     a.m.u. : atomic mass unit                                                         

                                                                                       
#     E_F: Fermi energy                                                                 
#     N(E_F): Electronic DOS at E_F                                                     
#     γ : Gruneisen paramater                                                           
#     C_e: Electronic specific heat                                                     
#     v_F: Fermi velocity                                                               
#     τ_e: Electron scattering time                                                     
#     κ_e: Electronic thermal conductivity                                              
#     κ_lat: Lattice thermal conductivity                                               
#     λ: Electron-phonon mass enhancement parameter                                     
#     G_e: Electron-phonon coupling factor                                              

                                                                                       
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                       
#      κ_e=v_F^2 C_e τ_e /3 
                                                           
          πℏλ < ω^2 >
#   G_e=-(----------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
              N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                   
