# SYSTEM: Co-0.1_Xx3-0.9                     
#     Crystal structure:  face centered cubic
#     Lattice parameter(s): a= 6.5229 a.u.   
#     Mass: 55.8037 a.m.u.                   
#     Density of solid: 9012.74 kg m^-3      
#     Bulk modulus: 291.436 GPa              
#     Young modulus: 461.798 GPa             
#     Shear modulus: 186.997 GPa             
#     Debye temperture: 682.646  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        69.48        21.998      1.669              0.609      5.21391           1.254            36.155       0.024472           2.0464             1.0087      -5.846778      
200        69.53        21.998      1.669              0.629      10.421223         1.29             21.544       0.036548           0.974254           0.8464      -9.601496      
300        69.58        21.998      1.669              0.633      15.619567         1.271            17.214       0.049709           0.64296            0.7062      -13.364389     
400        69.64        21.999      1.669              0.634      20.808989         1.295            14.315       0.062105           0.481269           0.6369      -17.093368     
500        69.7         21.999      1.669              0.633      25.989859         1.297            12.1         0.068687           0.385879           0.6028      -20.801836     
600        69.76        21.999      1.669              0.631      31.162637         1.308            10.395       0.073513           0.323356           0.5847      -24.500513     
700        69.82        21.999      1.669              0.628      36.327794         1.321            9.081        0.077511           0.27954            0.5737      -28.195122     
800        69.87        21.999      1.669              0.624      41.48579          1.338            8.057        0.081346           0.247361           0.5658      -31.888307     
900        69.93        21.999      1.669              0.618      46.637079         1.342            7.242        0.083323           0.22292            0.5595      -35.580987     
1000       69.99        21.998      1.669              0.612      51.782099         1.349            6.577        0.085465           0.203679           0.5545      -39.273244     
3000       71.06        22.002      1.668              0.612      152.994028        2.085            2.2          0.202421           0.068238           0.5524      -42.929469     
6000       72.66        22.007      1.666              0.612      299.48113         1.846            1.126        0.161531           0.034374           0.5397      -46.654166     
9000       74.27        21.998      1.669              0.612      442.518757        1.811            0.774        0.161538           0.023084           0.5231      -50.447958     
12000      75.88        21.994      1.671              0.612      583.106134        1.878            0.597        0.179947           0.017437           0.5084      -54.271543     
15000      77.48        22.004      1.667              0.612      718.884995        1.974            0.491        0.204975           0.014047           0.4952      -58.111469     
18000      79.09        22.027      1.659              0.612      843.585949        2.071            0.421        0.2315             0.011786           0.4808      -61.965678     
21000      80.7         22.061      1.647              0.612      949.376663        2.16             0.373        0.256327           0.010171           0.4653      -65.832798     
24000      82.31        22.103      1.626              0.612      1030.322237       1.609            0.338        0.143062           0.008958           0.4491      -69.711259     
27000      83.91        22.152      1.601              0.612      1084.060565       1.928            0.312        0.204              0.008014           0.4327      -73.601408     
30000      85.52        22.207      1.586              0.612      1111.550701       2.105            0.292        0.238645           0.007258           0.4161      -77.50804      


                                                                                     
# NOTES:                                                                                
#     u.c. : unit cell                                                                  
#     a.m.u. : atomic mass unit                                                         

                                                                                       
#     E_F: Fermi energy                                                                 
#     N(E_F): Electronic DOS at E_F                                                     
#     γ : Gruneisen paramater                                                           
#     C_e: Electronic specific heat                                                     
#     v_F: Fermi velocity                                                               
#     τ_e: Electron scattering time                                                     
#     κ_e: Electronic thermal conductivity                                              
#     κ_lat: Lattice thermal conductivity                                               
#     λ: Electron-phonon mass enhancement parameter                                     
#     G_e: Electron-phonon coupling factor                                              

                                                                                       
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                       
#      κ_e=v_F^2 C_e τ_e /3 
                                                           
          πℏλ < ω^2 >
#   G_e=-(----------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
              N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                   
