# SYSTEM: Co                                                             
#     Crystal structure:  hexagonal                                      
#     Lattice parameter(s): a= 4.6364 a.u., c/a= 1.62087`
#     Mass: 117.866 a.m.u.                                               
#     Density of solid: 9441.01 kg m^-3                                  
#     Bulk modulus: 252.976 GPa                                          
#     Young modulus: 310.499 GPa                                         
#     Shear modulus: 119.863 GPa                                         
#     Debye temperture: 540.246  K 

                                         
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        70.4         21.292      2.874              2.154      4.981984          1.916            52.444       0.111255           0.163712           0.6954      -5.823717      
200        70.49        21.292      2.873              1.983      9.949379          1.91             29.378       0.135279           0.098004           0.6207      -9.586962      
300        70.59        21.292      2.872              1.719      14.903087         1.912            21.227       0.155891           0.089256           0.5727      -13.322052     
400        70.66        21.292      2.87               1.496      19.847744         1.914            17.112       0.176447           0.09075            0.5328      -17.051759     
500        70.72        21.291      2.867              1.318      24.78579          1.918            14.466       0.19436            0.095734           0.5042      -20.774094     
600        70.77        21.29       2.864              1.175      29.718487         1.92             12.579       0.208875           0.102202           0.4832      -24.491807     
700        70.8         21.29       2.861              1.06       34.646595         1.917            11.149       0.219852           0.109281           0.4673      -28.206987     
800        70.83        21.289      2.858              0.964      39.570664         1.912            10.019       0.228263           0.116474           0.455       -31.920794     
900        70.86        21.289      2.855              0.884      44.491143         1.907            9.1          0.235055           0.123454           0.4453      -35.633869     
1000       70.88        21.288      2.851              0.819      49.40844          1.902            8.338        0.240387           0.12902            0.4374      -39.346662     
3000       71.29        21.264      2.734              0.819      147.106007        2.48             3.303        0.532272           0.04309            0.368       -43.253133     
6000       71.91        21.232      2.597              0.819      294.067352        2.702            1.885        0.771528           0.021607           0.3224      -47.139319     
9000       72.53        21.229      2.585              0.819      440.729923        2.937            1.326        0.986651           0.014446           0.3054      -50.970946     
12000      73.15        21.254      2.688              0.819      569.83887         3.178            1.002        1.132505           0.010865           0.3031      -54.795719     
15000      73.77        21.301      2.92               0.819      659.129398        3.417            0.796        1.198771           0.008717           0.3053      -58.632067     
18000      74.39        21.365      3.292              0.819      701.92028         3.651            0.661        1.207369           0.007284           0.3065      -62.485623     
21000      75.01        21.44       3.712              0.819      706.379293        3.88             0.568        1.182222           0.006261           0.3054      -66.342751     
24000      75.63        21.523      3.813              0.819      685.926068        1.767            0.503        0.21177            0.005493           0.3021      -70.163764     
27000      76.25        21.613      3.08               0.819      652.599376        1.936            0.454        0.220314           0.004896           0.297       -73.884819     
30000      76.87        21.707      1.719              0.819      614.762508        2.233            0.418        0.25635            0.004419           0.2903      -77.45061      


                                                                                         
# NOTES:                                                                                    
#     u.c. : unit cell                                                                      
#     a.m.u. : atomic mass unit                                                             

                                                                                           
#     E_F: Fermi energy                                                                     
#     N(E_F): Electronic DOS at E_F                                                         
#     γ : Gruneisen paramater                                                               
#     C_e: Electronic specific heat                                                         
#     v_F: Fermi velocity                                                                   
#     τ_e: Electron scattering time                                                         
#     κ_e: Electronic thermal conductivity                                                  
#     κ_lat: Lattice thermal conductivity                                                   
#     λ: Electron-phonon mass enhancement parameter                                         
#     G_e: Electron-phonon coupling factor                                                  

                                                                                           
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                           
#      κ_e=v_F^2 C_e τ_e /3 
                                                               
          π\ℏ\λ\ < ω^2 >
#   G_e=-(-------------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
                N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                       
