# SYSTEM: Cr-0.05_Xx3-0.95                   
#     Crystal structure:  face centered cubic
#     Lattice parameter(s): a= 6.5273 a.u.   
#     Mass: 57.4775 a.m.u.                   
#     Density of solid: 9264.18 kg m^-3      
#     Bulk modulus: 265.487 GPa              
#     Young modulus: 426.356 GPa             
#     Shear modulus: 173.062 GPa             
#     Debye temperture: 649.598  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        69.62        21.523      2.028              0.52       5.092238          2.816            144.263      1.237617           2.246624           0.2528      -6.354842      
200        69.66        21.522      2.027              0.541      10.178637         2.84             67.163       1.136672           1.071136           0.2715      -10.013755     
300        69.71        21.521      2.024              0.546      15.256654         2.813            42.804       1.044792           0.705399           0.284       -13.684241     
400        69.77        21.52       2.023              0.549      20.325505         2.818            30.864       0.989755           0.526473           0.2954      -17.354381     
500        69.83        21.519      2.021              0.549      25.384806         2.782            24.329       0.942894           0.420588           0.2998      -21.032664     
600        69.88        21.518      2.02               0.549      30.434317         2.784            20.16        0.935715           0.350909           0.3015      -24.713369     
700        69.94        21.518      2.019              0.548      35.473912         2.754            17.2         0.908965           0.301809           0.3029      -28.393956     
800        70.          21.518      2.019              0.545      40.50365          2.744            14.98        0.895192           0.265562           0.3043      -32.074798     
900        70.05        21.517      2.018              0.542      45.523801         2.773            13.255       0.907498           0.237841           0.3057      -35.756443     
1000       70.11        21.517      2.018              0.539      50.534832         2.774            11.871       0.900649           0.215983           0.3072      -39.439069     
3000       71.17        21.505      1.996              0.539      149.123376        1.578            3.655        0.254777           0.072358           0.3326      -43.088278     
6000       72.78        21.482      1.955              0.539      293.850446        1.729            1.779        0.289372           0.036449           0.3416      -46.879501     
9000       74.38        21.483      1.956              0.539      437.177649        1.801            1.203        0.318454           0.024476           0.3366      -50.706602     
12000      75.98        21.506      1.997              0.539      579.240475        1.885            0.92         0.356866           0.018488           0.3301      -54.553063     
15000      77.58        21.548      2.077              0.539      716.038585        1.992            0.745        0.401339           0.014894           0.3261      -58.415328     
18000      79.19        21.605      2.199              0.539      838.718818        2.106            0.628        0.445462           0.012496           0.3223      -62.295478     
21000      80.79        21.672      2.423              0.539      937.56519         2.207            0.547        0.479339           0.010783           0.3174      -66.205083     
24000      82.39        21.748      2.832              0.539      1006.489913       2.223            0.488        0.470079           0.009497           0.3114      -70.152431     
27000      83.99        21.831      3.236              0.539      1044.452244       1.608            0.444        0.234736           0.008496           0.3043      -74.103279     
30000      85.6         21.917      3.212              0.539      1054.399591       1.468            0.41         0.184656           0.007695           0.2965      -78.005996     


                                                                                     
# NOTES:                                                                                
#     u.c. : unit cell                                                                  
#     a.m.u. : atomic mass unit                                                         

                                                                                       
#     E_F: Fermi energy                                                                 
#     N(E_F): Electronic DOS at E_F                                                     
#     γ : Gruneisen paramater                                                           
#     C_e: Electronic specific heat                                                     
#     v_F: Fermi velocity                                                               
#     τ_e: Electron scattering time                                                     
#     κ_e: Electronic thermal conductivity                                              
#     κ_lat: Lattice thermal conductivity                                               
#     λ: Electron-phonon mass enhancement parameter                                     
#     G_e: Electron-phonon coupling factor                                              

                                                                                       
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                       
#      κ_e=v_F^2 C_e τ_e /3 
                                                           
          πℏλ < ω^2 >
#   G_e=-(----------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
              N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                   
