# SYSTEM: Cr-0.0_Xx3-1.0                     
#     Crystal structure:  face centered cubic
#     Lattice parameter(s): a= 6.5365 a.u.   
#     Mass: 57.8239 a.m.u.                   
#     Density of solid: 9280.7 kg m^-3       
#     Bulk modulus: 258.857 GPa              
#     Young modulus: 417.601 GPa             
#     Shear modulus: 169.668 GPa             
#     Debye temperture: 641.836  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        69.92        21.335      2.295              0.529      5.019091          1.64             82.306       0.177876           2.142706           0.4431      -6.059949      
200        69.96        21.335      2.295              0.551      10.031609         1.631            42.191       0.183062           1.01787            0.4322      -9.770461      
300        70.02        21.336      2.297              0.556      15.034196         1.608            29.621       0.193063           0.66974            0.4104      -13.485444     
400        70.08        21.337      2.3                0.558      20.026051         1.59             24.114       0.214151           0.49982            0.3781      -17.209748     
500        70.14        21.338      2.303              0.559      25.007111         1.565            20.668       0.230601           0.399548           0.3529      -20.927055     
600        70.19        21.339      2.305              0.558      29.977598         1.537            18.09        0.239165           0.333821           0.336       -24.635714     
700        70.25        21.339      2.306              0.556      34.937846         1.535            16.011       0.250207           0.287715           0.3254      -28.337599     
800        70.31        21.339      2.306              0.552      39.888317         1.521            14.299       0.252965           0.253828           0.3188      -32.035403     
900        70.37        21.339      2.305              0.548      44.829607         1.51             12.88        0.253801           0.22809            0.3146      -35.731254     
1000       70.42        21.338      2.305              0.543      49.762435         1.504            11.689       0.254623           0.207869           0.312       -39.426296     
3000       71.5         21.321      2.256              0.543      146.952087        1.476            4.044        0.254985           0.069641           0.3006      -43.170675     
6000       73.11        21.299      2.202              0.543      290.122537        1.606            2.095        0.31374            0.03508            0.2901      -47.008431     
9000       74.72        21.308      2.224              0.543      432.324023        1.664            1.433        0.347347           0.023558           0.2827      -50.853144     
12000      76.34        21.341      2.312              0.543      574.033477        1.757            1.096        0.39693            0.017794           0.2771      -54.71373      
15000      77.95        21.392      2.504              0.543      713.391553        1.858            0.884        0.446684           0.014335           0.2748      -58.597453     
18000      79.57        21.458      2.862              0.543      844.739654        1.959            0.741        0.494083           0.012028           0.2732      -62.51375      
21000      81.18        21.534      3.274              0.543      959.727153        2.044            0.641        0.530923           0.010379           0.2706      -66.44192      
24000      82.79        21.618      3.338              0.543      1050.780191       1.431            0.569        0.254198           0.009141           0.2669      -70.332436     
27000      84.41        21.707      2.734              0.543      1113.690091       1.417            0.515        0.240727           0.008178           0.2621      -74.140554     
30000      86.02        21.801      1.685              0.543      1148.103783       1.389            0.473        0.221124           0.007407           0.2564      -77.838627     


                                                                                     
# NOTES:                                                                                
#     u.c. : unit cell                                                                  
#     a.m.u. : atomic mass unit                                                         

                                                                                       
#     E_F: Fermi energy                                                                 
#     N(E_F): Electronic DOS at E_F                                                     
#     γ : Gruneisen paramater                                                           
#     C_e: Electronic specific heat                                                     
#     v_F: Fermi velocity                                                               
#     τ_e: Electron scattering time                                                     
#     κ_e: Electronic thermal conductivity                                              
#     κ_lat: Lattice thermal conductivity                                               
#     λ: Electron-phonon mass enhancement parameter                                     
#     G_e: Electron-phonon coupling factor                                              

                                                                                       
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                       
#      κ_e=v_F^2 C_e τ_e /3 
                                                           
          πℏλ < ω^2 >
#   G_e=-(----------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
              N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                   
