# SYSTEM: Cr-0.15_Xx3-0.85                   
#     Crystal structure:  face centered cubic
#     Lattice parameter(s): a= 6.5174 a.u.   
#     Mass: 56.9006 a.m.u.                   
#     Density of solid: 9213.13 kg m^-3      
#     Bulk modulus: 276.2 GPa                
#     Young modulus: 455.128 GPa             
#     Shear modulus: 185.746 GPa             
#     Debye temperture: 677.506  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        69.3         21.779      1.717              0.531      5.194161          2.374            31.136       0.06442            2.456735           1.1713      -5.763903      
200        69.34        21.78       1.717              0.551      10.382111         2.35             27.135       0.185437           1.172566           0.672       -9.708693      
300        69.39        21.78       1.717              0.558      15.561657         2.342            22.083       0.261392           0.76983            0.5505      -13.488011     
400        69.45        21.779      1.717              0.562      20.73262          2.303            18.411       0.301822           0.572138           0.4952      -17.218634     
500        69.5         21.779      1.717              0.564      25.894835         2.299            15.757       0.335991           0.454943           0.4629      -20.92932      
600        69.56        21.778      1.717              0.566      31.048167         2.271            13.711       0.351226           0.377739           0.4433      -24.628503     
700        69.62        21.778      1.717              0.567      36.19255          2.303            12.079       0.377151           0.323345           0.4313      -28.320422     
800        69.68        21.777      1.717              0.567      41.328026         2.275            10.754       0.378076           0.283175           0.4239      -32.007743     
900        69.73        21.777      1.717              0.565      46.45474          2.267            9.664        0.381898           0.252549           0.4193      -35.692279     
1000       69.79        21.777      1.717              0.563      51.572931         2.27             8.76         0.386809           0.228467           0.4163      -39.375397     
3000       70.9         21.773      1.716              0.563      152.099477        1.676            2.886        0.20345            0.076557           0.4212      -42.986045     
6000       72.56        21.758      1.717              0.563      298.419498        1.746            1.335        0.19112            0.038575           0.4553      -46.717086     
9000       74.22        21.749      1.718              0.563      442.272367        1.784            0.895        0.198889           0.025912           0.4527      -50.52341      
12000      75.88        21.758      1.717              0.563      584.179068        1.872            0.687        0.225292           0.019578           0.4422      -54.354364     
15000      77.54        21.784      1.717              0.563      720.937119        1.983            0.562        0.258513           0.015776           0.4326      -58.198872     
18000      79.21        21.825      1.728              0.563      844.904225        2.092            0.479        0.291797           0.01324            0.4226      -62.058898     
21000      80.87        21.878      1.763              0.563      947.179799        2.191            0.422        0.320687           0.011427           0.4115      -65.937907     
24000      82.53        21.939      1.837              0.563      1021.657165       1.838            0.38         0.223079           0.010067           0.3996      -69.839688     
27000      84.19        22.007      1.946              0.563      1066.621286       1.808            0.348        0.210297           0.009008           0.3872      -73.762105     
30000      85.85        22.08       2.074              0.563      1084.093266       1.769            0.324        0.194159           0.00816            0.3744      -77.700895     


                                                                                     
# NOTES:                                                                                
#     u.c. : unit cell                                                                  
#     a.m.u. : atomic mass unit                                                         

                                                                                       
#     E_F: Fermi energy                                                                 
#     N(E_F): Electronic DOS at E_F                                                     
#     γ : Gruneisen paramater                                                           
#     C_e: Electronic specific heat                                                     
#     v_F: Fermi velocity                                                               
#     τ_e: Electron scattering time                                                     
#     κ_e: Electronic thermal conductivity                                              
#     κ_lat: Lattice thermal conductivity                                               
#     λ: Electron-phonon mass enhancement parameter                                     
#     G_e: Electron-phonon coupling factor                                              

                                                                                       
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                       
#      κ_e=v_F^2 C_e τ_e /3 
                                                           
          πℏλ < ω^2 >
#   G_e=-(----------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
              N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                   
