# SYSTEM: Cr-0.1_Xx3-0.9                     
#     Crystal structure:  face centered cubic
#     Lattice parameter(s): a= 6.5208 a.u.   
#     Mass: 57.1891 a.m.u.                   
#     Density of solid: 9245.38 kg m^-3      
#     Bulk modulus: 270.597 GPa              
#     Young modulus: 435.248 GPa             
#     Shear modulus: 176.709 GPa             
#     Debye temperture: 658.751  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        69.41        21.653      1.803              0.509      5.156985          3.005            94.506       0.76386            2.39074            0.3859      -6.18823       
200        69.45        21.654      1.803              0.527      10.307827         2.808            49.071       0.706516           1.148094           0.3716      -9.911687      
300        69.5         21.655      1.804              0.531      15.449947         2.797            33.609       0.730497           0.758073           0.3617      -13.615461     
400        69.55        21.655      1.804              0.533      20.583052         2.79             25.524       0.739854           0.566703           0.3572      -17.308988     
500        69.6         21.655      1.804              0.533      25.707111         2.731            20.563       0.716025           0.453197           0.3547      -20.996291     
600        69.66        21.656      1.805              0.532      30.822088         2.72             17.253       0.717362           0.378312           0.3523      -24.681371     
700        69.71        21.656      1.805              0.531      35.928023         2.719            14.898       0.723814           0.325414           0.3497      -28.3658       
800        69.76        21.656      1.805              0.529      41.025059         2.715            13.126       0.729119           0.286198           0.3473      -32.049685     
900        69.81        21.656      1.805              0.526      46.113432         2.702            11.731       0.727335           0.256114           0.3454      -35.732987     
1000       69.87        21.656      1.805              0.523      51.193438         2.674            10.601       0.716049           0.232307           0.344       -39.415967     
3000       70.88        21.649      1.799              0.523      151.135057        1.606            3.261        0.224756           0.07781            0.3727      -43.024366     
6000       72.41        21.629      1.786              0.523      297.553619        1.73             1.516        0.22955            0.039183           0.4007      -46.776821     
9000       73.94        21.624      1.783              0.523      442.404807        1.79             1.018        0.246305           0.026304           0.3978      -50.588419     
12000      75.47        21.639      1.792              0.523      585.99197         1.878            0.78         0.278125           0.019863           0.3896      -54.420252     
15000      77.          21.672      1.82               0.523      724.687146        1.988            0.634        0.316874           0.015997           0.3829      -58.266257     
18000      78.52        21.721      1.882              0.523      850.159673        2.098            0.538        0.354417           0.013418           0.3761      -62.130502     
21000      80.05        21.781      1.983              0.523      952.943023        2.201            0.471        0.387222           0.011576           0.3682      -66.014309     
24000      81.58        21.849      2.11               0.523      1026.751282       2.058            0.423        0.331578           0.010193           0.3592      -69.914412     
27000      83.11        21.924      2.33               0.523      1070.045902       1.723            0.386        0.224542           0.009116           0.3494      -73.842942     
30000      84.63        22.004      2.741              0.523      1085.211663       1.588            0.358        0.182214           0.008255           0.339       -77.811712     


                                                                                     
# NOTES:                                                                                
#     u.c. : unit cell                                                                  
#     a.m.u. : atomic mass unit                                                         

                                                                                       
#     E_F: Fermi energy                                                                 
#     N(E_F): Electronic DOS at E_F                                                     
#     γ : Gruneisen paramater                                                           
#     C_e: Electronic specific heat                                                     
#     v_F: Fermi velocity                                                               
#     τ_e: Electron scattering time                                                     
#     κ_e: Electronic thermal conductivity                                              
#     κ_lat: Lattice thermal conductivity                                               
#     λ: Electron-phonon mass enhancement parameter                                     
#     G_e: Electron-phonon coupling factor                                              

                                                                                       
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                       
#      κ_e=v_F^2 C_e τ_e /3 
                                                           
          πℏλ < ω^2 >
#   G_e=-(----------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
              N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                   
