# SYSTEM: Cr                                 
#     Crystal structure:  body centered cubic
#     Lattice parameter(s): a= 5.3905 a.u.   
#     Mass: 51.9962 a.m.u.                   
#     Density of solid: 7439.65 kg m^-3      
#     Bulk modulus: 263.046 GPa              
#     Young modulus: 349.701 GPa             
#     Shear modulus: 136.778 GPa             
#     Debye temperture: 625.508  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        78.4         20.324      0.967              0.427      4.245292          4.556            53.838       0.562              2.288462           0.6774      -6.269958      
200        78.43        20.323      0.966              0.421      8.487347          4.54             34.561       0.863643           1.157222           0.5276      -10.199366     
300        78.47        20.32       0.964              0.42       12.724767         4.414            24.23        0.888031           0.772317           0.5017      -14.026932     
400        78.51        20.318      0.962              0.42       16.956647         4.373            19.21        0.954706           0.579111           0.4746      -17.850231     
500        78.55        20.315      0.96               0.421      21.181891         4.381            16.208       1.044595           0.463148           0.45        -21.67389      
600        78.6         20.313      0.958              0.421      25.399547         4.367            14.007       1.100146           0.385934           0.4339      -25.491712     
700        78.64        20.312      0.957              0.421      29.609034         4.354            12.307       1.136629           0.330904           0.4233      -29.304277     
800        78.69        20.311      0.956              0.42       33.810015         4.353            10.978       1.170502           0.289758           0.4152      -33.113399     
900        78.73        20.309      0.955              0.42       38.002282         4.366            9.923        1.208349           0.257881           0.4083      -36.920045     
1000       78.78        20.308      0.954              0.419      42.185729         4.345            9.062        1.223151           0.232474           0.4024      -40.724339     
3000       79.67        20.285      0.932              0.419      124.050813        3.806            3.092        0.954698           0.077781           0.3929      -44.367205     
6000       81.          20.23       0.851              0.419      242.494499        3.511            1.42         0.694242           0.039106           0.4276      -47.803439     
9000       82.33        20.174      0.71               0.419      357.221242        3.271            0.848        0.495344           0.026213           0.4768      -51.415957     
12000      83.66        20.134      0.588              0.419      466.268614        3.171            0.578        0.388861           0.019765           0.5241      -55.123713     
15000      85.          20.104      0.506              0.419      563.571605        3.17             0.44         0.345499           0.015896           0.55        -58.91055      
18000      86.33        20.081      0.457              0.419      642.398417        3.168            0.361        0.320592           0.013315           0.5564      -62.759098     
21000      87.66        20.064      0.431              0.419      699.25152         3.131            0.313        0.297314           0.011472           0.55        -66.653253     
24000      89.          20.052      0.418              0.419      734.326566        4.282            0.28         0.532516           0.010088           0.5359      -70.580054     
27000      90.33        20.044      0.412              0.419      750.145568        4.238            0.257        0.501363           0.009012           0.5173      -74.530269     
30000      91.66        20.039      0.41               0.419      750.123638        4.129            0.24         0.457675           0.00815            0.4963      -78.498104     


                                                                                         
# NOTES:                                                                                    
#     u.c. : unit cell                                                                      
#     a.m.u. : atomic mass unit                                                             

                                                                                           
#     E_F: Fermi energy                                                                     
#     N(E_F): Electronic DOS at E_F                                                         
#     γ : Gruneisen paramater                                                               
#     C_e: Electronic specific heat                                                         
#     v_F: Fermi velocity                                                                   
#     τ_e: Electron scattering time                                                         
#     κ_e: Electronic thermal conductivity                                                  
#     κ_lat: Lattice thermal conductivity                                                   
#     λ: Electron-phonon mass enhancement parameter                                         
#     G_e: Electron-phonon coupling factor                                                  

                                                                                           
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                           
#      κ_e=v_F^2 C_e τ_e /3 
                                                               
          π\ℏ\λ\ < ω^2 >
#   G_e=-(-------------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
                N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                       
