# SYSTEM: CrFeCoNi                           
#     Crystal structure:  face centered cubic
#     Lattice parameter(s): a= 6.5178 a.u.   
#     Mass: 56.3669 a.m.u.                   
#     Density of solid: 9124.7 kg m^-3       
#     Bulk modulus: 286.309 GPa              
#     Young modulus: 482.466 GPa             
#     Shear modulus: 197.965 GPa             
#     Debye temperture: 699.806  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        69.31        21.943      1.688              0.513      5.224275          1.374            60.966       0.078515           2.797096           0.5982      -6.08838       
200        69.35        21.943      1.688              0.538      10.443245         1.378            28.019       0.067938           1.320285           0.6508      -9.744414      
300        69.4         21.942      1.688              0.545      15.6546           1.382            19.144       0.071322           0.867166           0.635       -13.433717     
400        69.45        21.942      1.688              0.548      20.857952         1.364            14.961       0.074759           0.64556            0.6094      -17.133228     
500        69.5         21.942      1.688              0.55       26.053289         1.366            12.445       0.080209           0.514049           0.5861      -20.833155     
600        69.56        21.942      1.688              0.551      31.240646         1.357            10.678       0.08317            0.427065           0.5692      -24.529461     
700        69.61        21.942      1.688              0.552      36.420078         1.349            9.333        0.084929           0.365448           0.5582      -28.221697     
800        69.66        21.943      1.688              0.553      41.591661         1.347            8.272        0.086477           0.319604           0.5511      -31.911001     
900        69.72        21.943      1.688              0.552      46.755484         1.343            7.419        0.087289           0.284293           0.5462      -35.598623     
1000       69.77        21.943      1.688              0.552      51.911655         1.345            6.722        0.088499           0.256316           0.5425      -39.28542      
3000       70.85        21.947      1.686              0.552      153.281556        1.858            2.346        0.179484           0.085877           0.5182      -42.9312       
6000       72.47        21.947      1.686              0.552      300.196917        1.699            1.159        0.144263           0.043263           0.5241      -46.651298     
9000       74.09        21.937      1.69               0.552      443.996527        1.705            0.787        0.147772           0.029055           0.5144      -50.445823     
12000      75.71        21.936      1.691              0.552      585.536374        1.771            0.607        0.165278           0.021949           0.5001      -54.27004      
15000      77.33        21.95       1.684              0.552      722.200134        1.87             0.499        0.190187           0.017684           0.4867      -58.108999     
18000      78.95        21.978      1.669              0.552      847.294411        1.964            0.428        0.215098           0.014838           0.4727      -61.960105     
21000      80.57        22.018      1.647              0.552      952.622473        2.048            0.379        0.237526           0.012805           0.4576      -65.823274     
24000      82.19        22.066      1.63               0.552      1032.136404       1.48             0.343        0.124334           0.011279           0.442       -69.700828     
27000      83.81        22.122      1.63               0.552      1083.616538       1.744            0.316        0.170839           0.010091           0.4261      -73.596558     
30000      85.43        22.182      1.652              0.552      1108.314255       1.879            0.296        0.194021           0.00914            0.4102      -77.511522     


                                                                                     
# NOTES:                                                                                
#     u.c. : unit cell                                                                  
#     a.m.u. : atomic mass unit                                                         

                                                                                       
#     E_F: Fermi energy                                                                 
#     N(E_F): Electronic DOS at E_F                                                     
#     γ : Gruneisen paramater                                                           
#     C_e: Electronic specific heat                                                     
#     v_F: Fermi velocity                                                               
#     τ_e: Electron scattering time                                                     
#     κ_e: Electronic thermal conductivity                                              
#     κ_lat: Lattice thermal conductivity                                               
#     λ: Electron-phonon mass enhancement parameter                                     
#     G_e: Electron-phonon coupling factor                                              

                                                                                       
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                       
#      κ_e=v_F^2 C_e τ_e /3 
                                                           
          πℏλ < ω^2 >
#   G_e=-(----------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
              N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                   
