# SYSTEM: CrFeCoNiCu                         
#     Crystal structure:  face centered cubic
#     Lattice parameter(s): a= 6.5123 a.u.   
#     Mass: 57.8028 a.m.u.                   
#     Density of solid: 9381.07 kg m^-3      
#     Bulk modulus: 275.774 GPa              
#     Young modulus: 446.218 GPa             
#     Shear modulus: 181.412 GPa             
#     Debye temperture: 662.658  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        69.14        21.755      1.91               0.504      5.187905          1.487            97.149       0.196467           2.485004           0.3754      -6.192028      
200        69.18        21.756      1.911              0.525      10.369354         1.486            62.256       0.284315           1.183953           0.2929      -9.99147       
300        69.23        21.757      1.912              0.532      15.542031         1.494            45.04        0.322961           0.777462           0.2699      -13.707137     
400        69.28        21.757      1.913              0.536      20.705461         1.495            34.301       0.330282           0.57819            0.2658      -17.394722     
500        69.33        21.757      1.913              0.538      25.859465         1.504            26.805       0.322927           0.460045           0.2721      -21.064813     
600        69.39        21.757      1.913              0.539      31.003895         1.52             21.669       0.315537           0.382142           0.2805      -24.730368     
700        69.44        21.757      1.913              0.54       36.138595         1.521            18.096       0.303873           0.327175           0.2879      -28.396816     
800        69.5         21.757      1.913              0.54       41.263505         1.521            15.521       0.295118           0.286485           0.2937      -32.06561      
900        69.55        21.757      1.913              0.539      46.378735         1.519            13.597       0.28781            0.255362           0.298       -35.737008     
1000       69.6         21.757      1.913              0.537      51.484575         1.51             12.1         0.279664           0.23084            0.3014      -39.410445     
3000       70.67        21.747      1.899              0.537      151.871928        1.561            3.549        0.242993           0.077338           0.3425      -43.015788     
6000       72.27        21.724      1.866              0.537      298.898493        1.587            1.688        0.228961           0.038958           0.36        -46.782716     
9000       73.87        21.721      1.861              0.537      444.181845        1.655            1.136        0.250325           0.026162           0.3567      -50.5965       
12000      75.47        21.739      1.886              0.537      587.969301        1.749            0.868        0.28571            0.019762           0.3498      -54.431616     
15000      77.07        21.775      1.942              0.537      726.403865        1.85             0.704        0.322164           0.015921           0.3452      -58.282572     
18000      78.67        21.827      2.026              0.537      850.808475        1.951            0.594        0.356829           0.013359           0.3407      -62.150282     
21000      80.27        21.889      2.15               0.537      951.565193        2.036            0.517        0.381456           0.011527           0.3353      -66.037176     
24000      81.87        21.961      2.398              0.537      1022.546032       1.481            0.462        0.195682           0.010153           0.3287      -69.958611     
27000      83.47        22.038      2.821              0.537      1062.570638       1.588            0.42         0.215068           0.009083           0.3212      -73.916363     
30000      85.07        22.121      3.194              0.537      1074.421874       1.602            0.388        0.207101           0.008227           0.3128      -77.870987     


                                                                                     
# NOTES:                                                                                
#     u.c. : unit cell                                                                  
#     a.m.u. : atomic mass unit                                                         

                                                                                       
#     E_F: Fermi energy                                                                 
#     N(E_F): Electronic DOS at E_F                                                     
#     γ : Gruneisen paramater                                                           
#     C_e: Electronic specific heat                                                     
#     v_F: Fermi velocity                                                               
#     τ_e: Electron scattering time                                                     
#     κ_e: Electronic thermal conductivity                                              
#     κ_lat: Lattice thermal conductivity                                               
#     λ: Electron-phonon mass enhancement parameter                                     
#     G_e: Electron-phonon coupling factor                                              

                                                                                       
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                       
#      κ_e=v_F^2 C_e τ_e /3 
                                                           
          πℏλ < ω^2 >
#   G_e=-(----------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
              N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                   
