# SYSTEM: CrMnFeCoNi                         
#     Crystal structure:  face centered cubic
#     Lattice parameter(s): a= 6.5271 a.u.   
#     Mass: 56.0812 a.m.u.                   
#     Density of solid: 9039.93 kg m^-3      
#     Bulk modulus: 292.213 GPa              
#     Young modulus: 443.662 GPa             
#     Shear modulus: 178.108 GPa             
#     Debye temperture: 664.467  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        69.62        21.945      1.682              0.659      5.181228          1.78             60.945       0.130464           1.67603            0.5984      -5.95145       
200        69.67        21.944      1.683              0.677      10.355975         1.858            27.38        0.117511           0.803168           0.666       -9.657615      
300        69.73        21.943      1.683              0.68       15.521696         1.879            19.159       0.130952           0.531483           0.6345      -13.38261      
400        69.79        21.943      1.684              0.679      20.678393         1.882            15.231       0.145554           0.399131           0.5986      -17.101391     
500        69.86        21.942      1.684              0.677      25.826401         1.887            12.617       0.155321           0.321504           0.5781      -20.80746      
600        69.92        21.942      1.684              0.672      30.966205         1.883            10.716       0.159745           0.271045           0.5672      -24.505942     
700        69.98        21.941      1.685              0.666      36.098399         1.872            9.288        0.160731           0.236045           0.5609      -28.200945     
800        70.04        21.941      1.685              0.658      41.223639         1.875            8.186        0.163079           0.210636           0.5569      -31.89445      
900        70.09        21.941      1.685              0.649      46.342603         1.879            7.302        0.164723           0.191642           0.5549      -35.586788     
1000       70.15        21.941      1.685              0.639      51.455956         1.876            6.576        0.164243           0.176749           0.5546      -39.278238     
3000       71.19        21.946      1.681              0.639      152.097117        1.92             2.094        0.156646           0.059208           0.5805      -42.932147     
6000       72.77        21.953      1.677              0.639      297.817328        1.864            1.101        0.1577             0.02982            0.5519      -46.665117     
9000       74.34        21.946      1.682              0.639      440.053079        1.788            0.765        0.153514           0.020022           0.5293      -50.460781     
12000      75.91        21.941      1.685              0.639      579.843839        1.803            0.591        0.16213            0.015122           0.5137      -54.284342     
15000      77.48        21.949      1.679              0.639      714.986732        1.87             0.486        0.180103           0.01218            0.4998      -58.123781     
18000      79.05        21.97       1.668              0.639      839.466885        1.95             0.418        0.201545           0.010219           0.4847      -61.97694      
21000      80.63        22.001      1.655              0.639      945.655706        2.022            0.37         0.221369           0.008816           0.4685      -65.843504     
24000      82.2         22.04       1.64               0.639      1027.656775       1.806            0.336        0.178202           0.007764           0.4516      -69.722887     
27000      83.77        22.087      1.618              0.639      1082.987737       1.836            0.31         0.183546           0.006945           0.4345      -73.61326      
30000      85.34        22.138      1.59               0.639      1112.39948        1.984            0.291        0.211093           0.00629            0.4174      -77.515307     


                                                                                     
# NOTES:                                                                                
#     u.c. : unit cell                                                                  
#     a.m.u. : atomic mass unit                                                         

                                                                                       
#     E_F: Fermi energy                                                                 
#     N(E_F): Electronic DOS at E_F                                                     
#     γ : Gruneisen paramater                                                           
#     C_e: Electronic specific heat                                                     
#     v_F: Fermi velocity                                                               
#     τ_e: Electron scattering time                                                     
#     κ_e: Electronic thermal conductivity                                              
#     κ_lat: Lattice thermal conductivity                                               
#     λ: Electron-phonon mass enhancement parameter                                     
#     G_e: Electron-phonon coupling factor                                              

                                                                                       
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                       
#      κ_e=v_F^2 C_e τ_e /3 
                                                           
          πℏλ < ω^2 >
#   G_e=-(----------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
              N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                   
