# SYSTEM: Fe-0.05_Xx3-0.95                   
#     Crystal structure:  face centered cubic
#     Lattice parameter(s): a= 6.5198 a.u.   
#     Mass: 56.4524 a.m.u.                   
#     Density of solid: 9130.49 kg m^-3      
#     Bulk modulus: 282.412 GPa              
#     Young modulus: 472.495 GPa             
#     Shear modulus: 193.539 GPa             
#     Debye temperture: 692.288  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        69.37        21.948      1.704              0.504      5.224815          1.477            81.17        0.146851           2.767785           0.4493      -6.163935      
200        69.41        21.948      1.704              0.527      10.444052         1.447            31.718       0.093214           1.31321            0.5749      -9.773052      
300        69.46        21.948      1.703              0.534      15.655244         1.441            21.025       0.091509           0.863335           0.5782      -13.464689     
400        69.51        21.949      1.703              0.537      20.858344         1.42             16.14        0.092402           0.642943           0.5649      -17.163924     
500        69.56        21.949      1.703              0.539      26.053449         1.449            13.144       0.099147           0.51208            0.5549      -20.858865     
600        69.62        21.949      1.703              0.54       31.24061          1.452            11.126       0.102127           0.425547           0.5463      -24.551262     
700        69.67        21.95       1.703              0.541      36.41984          1.461            9.684        0.106078           0.364199           0.538       -28.242478     
800        69.72        21.95       1.702              0.541      41.591154         1.472            8.593        0.110252           0.318608           0.5305      -31.93255      
900        69.78        21.95       1.702              0.541      46.754603         1.483            7.723        0.113916           0.283477           0.5247      -35.621024     
1000       69.83        21.95       1.702              0.54       51.910265         1.486            7.009        0.115849           0.25565            0.5203      -39.308339     
3000       70.9         21.953      1.7                0.54       153.268821        1.863            2.42         0.190234           0.085649           0.5022      -42.942823     
6000       72.5         21.95       1.702              0.54       300.398785        1.74             1.176        0.155082           0.043145           0.5167      -46.664843     
9000       74.11        21.94       1.708              0.54       444.684616        1.774            0.796        0.162909           0.028974           0.5091      -50.462979     
12000      75.71        21.941      1.708              0.54       586.882551        1.866            0.613        0.18684            0.021886           0.4952      -54.289071     
15000      77.32        21.958      1.697              0.54       724.235869        1.971            0.504        0.215197           0.017632           0.482       -58.12822      
18000      78.92        21.99       1.679              0.54       849.821715        2.076            0.432        0.244949           0.014794           0.4682      -61.978961     
21000      80.52        22.033      1.662              0.54       955.239925        2.17             0.383        0.271444           0.012766           0.4534      -65.843211     
24000      82.13        22.085      1.658              0.54       1034.367653       1.616            0.346        0.150841           0.011244           0.438       -69.724172     
27000      83.73        22.144      1.676              0.54       1085.043685       1.878            0.319        0.201236           0.010059           0.4224      -73.623603     
30000      85.34        22.208      1.726              0.54       1108.657933       1.977            0.298        0.217828           0.009111           0.4067      -77.544557     


                                                                                     
# NOTES:                                                                                
#     u.c. : unit cell                                                                  
#     a.m.u. : atomic mass unit                                                         

                                                                                       
#     E_F: Fermi energy                                                                 
#     N(E_F): Electronic DOS at E_F                                                     
#     γ : Gruneisen paramater                                                           
#     C_e: Electronic specific heat                                                     
#     v_F: Fermi velocity                                                               
#     τ_e: Electron scattering time                                                     
#     κ_e: Electronic thermal conductivity                                              
#     κ_lat: Lattice thermal conductivity                                               
#     λ: Electron-phonon mass enhancement parameter                                     
#     G_e: Electron-phonon coupling factor                                              

                                                                                       
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                       
#      κ_e=v_F^2 C_e τ_e /3 
                                                           
          πℏλ < ω^2 >
#   G_e=-(----------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
              N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                   
