# SYSTEM: Fe-0.0_Xx3-1.0                     
#     Crystal structure:  face centered cubic
#     Lattice parameter(s): a= 6.52 a.u.     
#     Mass: 56.5409 a.m.u.                   
#     Density of solid: 9143.67 kg m^-3      
#     Bulk modulus: 280.526 GPa              
#     Young modulus: 468.808 GPa             
#     Shear modulus: 191.973 GPa             
#     Debye temperture: 689.192  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        69.38        21.948      1.707              0.51       5.224094          1.384            46.943       0.0496             2.701411           0.7769      -5.941476      
200        69.42        21.948      1.707              0.534      10.442698         1.364            32.104       0.084578           1.278752           0.568       -9.773085      
300        69.47        21.948      1.707              0.54       15.65335          1.366            21.88        0.088032           0.840938           0.5556      -13.47856      
400        69.52        21.948      1.707              0.542      20.855849         1.374            16.404       0.088986           0.626815           0.5558      -17.169488     
500        69.57        21.948      1.707              0.544      26.050283         1.368            13.254       0.089655           0.499811           0.5503      -20.861231     
600        69.63        21.948      1.707              0.545      31.236687         1.356            11.219       0.090363           0.415898           0.5418      -24.553652     
700        69.68        21.948      1.707              0.545      36.415093         1.353            9.775        0.092403           0.356484           0.533       -28.24543      
800        69.74        21.949      1.707              0.544      41.585562         1.351            8.678        0.094305           0.312381           0.5253      -31.935813     
900        69.79        21.949      1.707              0.543      46.748193         1.347            7.803        0.095616           0.278391           0.5193      -35.624537     
1000       69.84        21.949      1.707              0.542      51.903118         1.356            7.081        0.098218           0.251472           0.515       -39.311787     
3000       70.91        21.952      1.705              0.542      153.253723        1.786            2.436        0.176659           0.084247           0.4989      -42.943201     
6000       72.5         21.948      1.707              0.542      300.453546        1.66             1.18         0.141805           0.042437           0.515       -46.666466     
9000       74.1         21.938      1.713              0.542      444.899583        1.687            0.798        0.148143           0.028497           0.5078      -50.465586     
12000      75.69        21.94       1.712              0.542      587.319574        1.765            0.615        0.168064           0.021525           0.494       -54.292043     
15000      77.29        21.958      1.701              0.542      724.916708        1.866            0.505        0.193808           0.01734            0.4808      -58.131193     
18000      78.88        21.99       1.683              0.542      850.702512        1.963            0.433        0.21998            0.014549           0.467       -61.981916     
21000      80.48        22.034      1.668              0.542      956.216841        2.046            0.384        0.242538           0.012554           0.4523      -65.84645      
24000      82.07        22.087      1.669              0.542      1035.31172        1.468            0.347        0.125077           0.011057           0.437       -69.727892     
27000      83.67        22.146      1.692              0.542      1085.838101       1.716            0.32         0.168825           0.009892           0.4214      -73.628076     
30000      85.26        22.211      1.752              0.542      1109.221317       1.828            0.299        0.18683            0.008959           0.4058      -77.550715     


                                                                                     
# NOTES:                                                                                
#     u.c. : unit cell                                                                  
#     a.m.u. : atomic mass unit                                                         

                                                                                       
#     E_F: Fermi energy                                                                 
#     N(E_F): Electronic DOS at E_F                                                     
#     γ : Gruneisen paramater                                                           
#     C_e: Electronic specific heat                                                     
#     v_F: Fermi velocity                                                               
#     τ_e: Electron scattering time                                                     
#     κ_e: Electronic thermal conductivity                                              
#     κ_lat: Lattice thermal conductivity                                               
#     λ: Electron-phonon mass enhancement parameter                                     
#     G_e: Electron-phonon coupling factor                                              

                                                                                       
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                       
#      κ_e=v_F^2 C_e τ_e /3 
                                                           
          πℏλ < ω^2 >
#   G_e=-(----------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
              N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                   
