# SYSTEM: Fe-0.15_Xx3-0.85                   
#     Crystal structure:  face centered cubic
#     Lattice parameter(s): a= 6.5187 a.u.   
#     Mass: 56.3885 a.m.u.                   
#     Density of solid: 9124.51 kg m^-3      
#     Bulk modulus: 284.324 GPa              
#     Young modulus: 478.896 GPa             
#     Shear modulus: 196.47 GPa              
#     Debye temperture: 697.411  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        69.34        21.948      1.696              0.508      5.226489          1.318            39.363       0.032099           2.802267           0.9265      -5.890273      
200        69.38        21.948      1.696              0.532      10.447303         1.393            25.312       0.057826           1.325893           0.7204      -9.694632      
300        69.43        21.949      1.696              0.538      15.660156         1.384            19.012       0.070704           0.872738           0.6394      -13.433612     
400        69.48        21.949      1.696              0.54       20.865004         1.426            15.262       0.084597           0.651157           0.5974      -17.148967     
500        69.53        21.949      1.695              0.541      26.061967         1.433            12.729       0.091802           0.519661           0.573       -20.852242     
600        69.58        21.95       1.695              0.542      31.251177         1.445            10.899       0.097741           0.43271            0.5577      -24.548635     
700        69.63        21.95       1.695              0.542      36.432721         1.454            9.517        0.102033           0.371064           0.5474      -28.240922     
800        69.69        21.95       1.695              0.541      41.606662         1.463            8.44         0.105649           0.325177           0.5401      -31.930598     
900        69.74        21.95       1.695              0.54       46.773066         1.468            7.577        0.108007           0.289795           0.5348      -35.618533     
1000       69.79        21.951      1.695              0.539      51.932021         1.477            6.87         0.110756           0.261751           0.5308      -39.305426     
3000       70.84        21.954      1.693              0.539      153.399556        1.912            2.385        0.195716           0.087684           0.5096      -42.9443       
6000       72.41        21.953      1.693              0.539      300.713833        1.756            1.168        0.156176           0.044163           0.5203      -46.663661     
9000       73.97        21.943      1.699              0.539      445.20173         1.78             0.791        0.162751           0.029653           0.5118      -50.45852      
12000      75.54        21.942      1.699              0.539      587.657756        1.867            0.61         0.185718           0.022396           0.4977      -54.28187      
15000      77.11        21.958      1.69               0.539      725.376061        1.974            0.502        0.214441           0.01804            0.4844      -58.118648     
18000      78.68        21.988      1.673              0.539      851.511638        2.076            0.43         0.243491           0.015134           0.4704      -61.966819     
21000      80.24        22.029      1.652              0.539      957.711231        2.171            0.381        0.270434           0.013058           0.4555      -65.827064     
24000      81.81        22.079      1.641              0.539      1037.829747       1.622            0.345        0.15136            0.0115             0.44        -69.70268      
27000      83.38        22.136      1.65               0.539      1089.626127       1.888            0.318        0.202845           0.010287           0.4243      -73.596271     
30000      84.95        22.199      1.684              0.539      1114.387261       2.007            0.297        0.22394            0.009316           0.4085      -77.509358     


                                                                                     
# NOTES:                                                                                
#     u.c. : unit cell                                                                  
#     a.m.u. : atomic mass unit                                                         

                                                                                       
#     E_F: Fermi energy                                                                 
#     N(E_F): Electronic DOS at E_F                                                     
#     γ : Gruneisen paramater                                                           
#     C_e: Electronic specific heat                                                     
#     v_F: Fermi velocity                                                               
#     τ_e: Electron scattering time                                                     
#     κ_e: Electronic thermal conductivity                                              
#     κ_lat: Lattice thermal conductivity                                               
#     λ: Electron-phonon mass enhancement parameter                                     
#     G_e: Electron-phonon coupling factor                                              

                                                                                       
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                       
#      κ_e=v_F^2 C_e τ_e /3 
                                                           
          πℏλ < ω^2 >
#   G_e=-(----------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
              N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                   
