# SYSTEM: Fe-0.1_Xx3-0.9                     
#     Crystal structure:  face centered cubic
#     Lattice parameter(s): a= 6.5192 a.u.   
#     Mass: 56.4205 a.m.u.                   
#     Density of solid: 9127.48 kg m^-3      
#     Bulk modulus: 283.144 GPa              
#     Young modulus: 475.898 GPa             
#     Shear modulus: 195.141 GPa             
#     Debye temperture: 695.068  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        69.36        21.947      1.701              0.508      5.226304          1.431            45.702       0.050414           2.77522            0.798       -5.965373      
200        69.39        21.948      1.7                0.532      10.446397         1.423            27.454       0.069871           1.314568           0.6642      -9.726686      
300        69.44        21.949      1.7                0.538      15.658481         1.401            19.712       0.077312           0.864616           0.6167      -13.445556     
400        69.49        21.95       1.699              0.541      20.862536         1.426            15.625       0.088065           0.644425           0.5835      -17.15648      
500        69.55        21.95       1.699              0.542      26.058634         1.445            12.914       0.09568            0.513746           0.5648      -20.857036     
600        69.6         21.95       1.699              0.543      31.246867         1.438            10.991       0.098117           0.42734            0.553       -24.551598     
700        69.65        21.951      1.699              0.543      36.427292         1.459            9.58         0.103966           0.366118           0.5438      -28.243426     
800        69.71        21.951      1.699              0.543      41.599946         1.476            8.499        0.108743           0.32058            0.5364      -31.933392     
900        69.76        21.951      1.698              0.542      46.764889         1.47             7.637        0.10976            0.285492           0.5306      -35.621873     
1000       69.81        21.951      1.698              0.541      51.922208         1.486            6.929        0.11372            0.257663           0.5263      -39.309124     
3000       70.87        21.955      1.696              0.541      153.331503        1.888            2.405        0.193231           0.08632            0.5055      -42.946994     
6000       72.46        21.953      1.697              0.541      300.533617        1.748            1.172        0.155544           0.04348            0.5184      -46.667357     
9000       74.05        21.942      1.703              0.541      444.885379        1.777            0.793        0.162741           0.029197           0.5106      -50.463698     
12000      75.64        21.943      1.703              0.541      587.163649        1.866            0.612        0.18611            0.022054           0.4966      -54.288538     
15000      77.23        21.959      1.694              0.541      724.639022        1.973            0.503        0.214787           0.017766           0.4834      -58.126608     
18000      78.82        21.99       1.676              0.541      850.431186        2.077            0.431        0.244261           0.014906           0.4695      -61.976218     
21000      80.41        22.032      1.656              0.541      956.16863         2.171            0.382        0.270818           0.012862           0.4546      -65.838692     
24000      82.          22.083      1.649              0.541      1035.722799       1.617            0.345        0.150614           0.011328           0.4392      -69.717222     
27000      83.59        22.141      1.662              0.541      1086.896951       1.883            0.318        0.201896           0.010134           0.4235      -73.61409      
30000      85.18        22.204      1.703              0.541      1111.032284       1.994            0.298        0.221205           0.009178           0.4077      -77.531375     


                                                                                     
# NOTES:                                                                                
#     u.c. : unit cell                                                                  
#     a.m.u. : atomic mass unit                                                         

                                                                                       
#     E_F: Fermi energy                                                                 
#     N(E_F): Electronic DOS at E_F                                                     
#     γ : Gruneisen paramater                                                           
#     C_e: Electronic specific heat                                                     
#     v_F: Fermi velocity                                                               
#     τ_e: Electron scattering time                                                     
#     κ_e: Electronic thermal conductivity                                              
#     κ_lat: Lattice thermal conductivity                                               
#     λ: Electron-phonon mass enhancement parameter                                     
#     G_e: Electron-phonon coupling factor                                              

                                                                                       
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                       
#      κ_e=v_F^2 C_e τ_e /3 
                                                           
          πℏλ < ω^2 >
#   G_e=-(----------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
              N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                   
