# SYSTEM: Fe                                 
#     Crystal structure:  body centered cubic
#     Lattice parameter(s): a= 5.3537 a.u.   
#     Mass: 55.845 a.m.u.                    
#     Density of solid: 8156.51 kg m^-3      
#     Bulk modulus: 314.911 GPa              
#     Young modulus: 322.202 GPa             
#     Shear modulus: 121.18 GPa              
#     Debye temperture: 563.541  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        71.22        21.123      2.449              2.238      3.963946          1.607            9.209        0.001277           0.081346           3.9602      -5.869553      
200        71.35        21.124      2.453              2.229      7.914026          1.545            3.571        0.000603           0.041037           5.1064      -9.327552      
300        71.5         21.124      2.454              2.182      11.846171         1.544            2.341        0.000574           0.028666           5.1937      -12.975738     
400        71.66        21.124      2.456              2.14       15.760885         1.553            1.798        0.000618           0.022441           5.0699      -16.663971     
500        71.83        21.125      2.457              2.105      19.658947         1.548            1.484        0.000667           0.018633           4.9139      -20.36797      
600        71.99        21.125      2.458              2.074      23.541156         1.544            1.28         0.000724           0.01604            4.7495      -24.082804     
700        72.16        21.125      2.459              2.047      27.408212         1.55             1.133        0.000793           0.014159           4.5977      -27.802597     
800        72.33        21.126      2.46               2.022      31.260694         1.554            1.02         0.000857           0.012741           4.4707      -31.523157     
900        72.49        21.126      2.46               2.         35.099085         1.549            0.927        0.000902           0.011609           4.3717      -35.24231      
1000       72.66        21.126      2.461              1.98       38.923808         1.557            0.848        0.00095            0.010684           4.2998      -38.959043     
3000       76.01        21.116      2.418              1.98       113.016192        2.257            0.262        0.001578           0.003615           4.6429      -42.285631     
6000       81.03        21.103      2.348              1.98       216.075645        2.338            0.13         0.00158            0.001847           4.6846      -45.905339     
9000       86.05        21.092      2.285              1.98       309.647283        2.416            0.095        0.002054           0.001256           4.2739      -49.787938     
12000      91.07        21.083      2.228              1.98       395.127355        2.507            0.079        0.002827           0.00096            3.8241      -53.782421     
15000      96.1         21.081      2.214              1.98       471.438491        2.606            0.07         0.003691           0.000782           3.4881      -57.835695     
18000      101.12       21.09       2.273              1.98       534.698628        2.699            0.062        0.004445           0.000663           3.2608      -61.930845     
21000      106.14       21.111      2.395              1.98       581.057638        2.801            0.056        0.005089           0.000577           3.0939      -66.064395     
24000      111.16       21.143      2.517              1.98       608.929908        1.624            0.051        0.001761           0.000513           2.9536      -70.227564     
27000      116.18       21.184      2.521              1.98       619.246077        1.86             0.048        0.002336           0.000463           2.8243      -74.402337     
30000      121.21       21.232      2.296              1.98       614.59491         2.093            0.045        0.00295            0.000422           2.7007      -78.568689     


                                                                                         
# NOTES:                                                                                    
#     u.c. : unit cell                                                                      
#     a.m.u. : atomic mass unit                                                             

                                                                                           
#     E_F: Fermi energy                                                                     
#     N(E_F): Electronic DOS at E_F                                                         
#     γ : Gruneisen paramater                                                               
#     C_e: Electronic specific heat                                                         
#     v_F: Fermi velocity                                                                   
#     τ_e: Electron scattering time                                                         
#     κ_e: Electronic thermal conductivity                                                  
#     κ_lat: Lattice thermal conductivity                                                   
#     λ: Electron-phonon mass enhancement parameter                                         
#     G_e: Electron-phonon coupling factor                                                  

                                                                                           
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                           
#      κ_e=v_F^2 C_e τ_e /3 
                                                               
          π\ℏ\λ\ < ω^2 >
#   G_e=-(-------------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
                N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                       
