# SYSTEM: Ni-0.05_Xx3-0.95                   
#     Crystal structure:  face centered cubic
#     Lattice parameter(s): a= 6.539 a.u.    
#     Mass: 55.6937 a.m.u.                   
#     Density of solid: 8928.46 kg m^-3      
#     Bulk modulus: 295.062 GPa              
#     Young modulus: 443.194 GPa             
#     Shear modulus: 177.647 GPa             
#     Debye temperture: 664.478  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        70.          21.843      1.767              0.683      5.146281          1.788            16.22        0.008428           1.574168           2.2485      -5.593935      
200        70.05        21.844      1.767              0.691      10.284981         1.828            11.945       0.021433           0.771396           1.5266      -9.456258      
300        70.11        21.844      1.767              0.695      15.414284         1.838            8.821        0.027061           0.50877            1.3781      -13.193399     
400        70.18        21.844      1.767              0.699      20.534017         1.871            6.988        0.031507           0.378538           1.3047      -16.910754     
500        70.24        21.844      1.767              0.701      25.644108         1.867            5.903        0.035211           0.301145           1.2356      -20.629009     
600        70.31        21.844      1.766              0.702      30.744647         1.829            5.164        0.037352           0.250173           1.1771      -24.345655     
700        70.38        21.844      1.766              0.703      35.835834         1.813            4.598        0.0397             0.214344           1.133       -28.058749     
800        70.44        21.845      1.766              0.702      40.917933         1.817            4.143        0.042306           0.187989           1.1002      -31.768932     
900        70.51        21.845      1.766              0.7        45.991281         1.822            3.77         0.044578           0.168007           1.0748      -35.477391     
1000       70.58        21.846      1.765              0.697      51.056284         1.813            3.46         0.045884           0.152334           1.0541      -39.185012     
3000       71.86        21.855      1.759              0.697      150.39952         2.128            1.35         0.084774           0.051085           0.9007      -42.977943     
6000       73.8         21.86       1.754              0.697      293.008929        2.051            0.744        0.092536           0.025769           0.8173      -46.732273     
9000       75.73        21.855      1.759              0.697      430.426844        1.929            0.528        0.090333           0.017328           0.7671      -50.537699     
12000      77.66        21.85       1.762              0.697      563.896831        1.922            0.412        0.094713           0.013106           0.7375      -54.373954     
15000      79.59        21.855      1.759              0.697      691.72375         1.981            0.341        0.10532            0.010571           0.7121      -58.231979     
18000      81.53        21.869      1.747              0.697      808.685212        2.058            0.295        0.118535           0.00888            0.686       -62.108238     
21000      83.46        21.893      1.726              0.697      908.031861        2.137            0.263        0.132187           0.007671           0.6593      -66.000263     
24000      85.39        21.925      1.694              0.697      984.526462        1.724            0.24         0.087831           0.006764           0.6325      -69.906538     
27000      87.32        21.963      1.654              0.697      1035.988445       1.975            0.223        0.116129           0.006057           0.6062      -73.826834     
30000      89.26        22.006      1.615              0.697      1063.152412       2.175            0.209        0.140374           0.005491           0.5804      -77.763958     


                                                                                     
# NOTES:                                                                                
#     u.c. : unit cell                                                                  
#     a.m.u. : atomic mass unit                                                         

                                                                                       
#     E_F: Fermi energy                                                                 
#     N(E_F): Electronic DOS at E_F                                                     
#     γ : Gruneisen paramater                                                           
#     C_e: Electronic specific heat                                                     
#     v_F: Fermi velocity                                                               
#     τ_e: Electron scattering time                                                     
#     κ_e: Electronic thermal conductivity                                              
#     κ_lat: Lattice thermal conductivity                                               
#     λ: Electron-phonon mass enhancement parameter                                     
#     G_e: Electron-phonon coupling factor                                              

                                                                                       
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                       
#      κ_e=v_F^2 C_e τ_e /3 
                                                           
          πℏλ < ω^2 >
#   G_e=-(----------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
              N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                   
