# SYSTEM: Ni-0.0_Xx3-1.0                     
#     Crystal structure:  face centered cubic
#     Lattice parameter(s): a= 6.5482 a.u.   
#     Mass: 55.5915 a.m.u.                   
#     Density of solid: 8874.63 kg m^-3      
#     Bulk modulus: 294.452 GPa              
#     Young modulus: 415.422 GPa             
#     Shear modulus: 164.534 GPa             
#     Debye temperture: 641.382  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        70.31        21.767      1.793              0.789      5.111915          2.259            17.954       0.016995           1.092123           2.0313      -5.715853      
200        70.37        21.767      1.793              0.775      10.215553         2.366            11.186       0.030817           0.565002           1.6301      -9.50877       
300        70.44        21.767      1.793              0.768      15.308729         2.344            8.222        0.037537           0.382971           1.4785      -13.249634     
400        70.51        21.767      1.793              0.763      20.391497         2.35             6.371        0.040448           0.290914           1.4311      -16.961105     
500        70.58        21.767      1.793              0.757      25.464248         2.35             5.168        0.04166            0.235748           1.4113      -20.664283     
600        70.65        21.767      1.793              0.752      30.527482         2.339            4.354        0.042205           0.199374           1.3961      -24.367297     
700        70.72        21.767      1.793              0.745      35.581773         2.343            3.776        0.043419           0.173878           1.3796      -28.072353     
800        70.78        21.767      1.792              0.736      40.62778          2.341            3.348        0.044534           0.155299           1.3617      -31.779425     
900        70.85        21.768      1.792              0.727      45.666227         2.351            3.016        0.046192           0.141299           1.3435      -35.487991     
1000       70.91        21.768      1.792              0.717      50.697864         2.343            2.751        0.047212           0.130405           1.3255      -39.197709     
3000       72.1         21.774      1.788              0.717      149.534367        1.96             1.084        0.04616            0.043711           1.1211      -43.0155       
6000       73.9         21.777      1.786              0.717      291.912322        1.983            0.607        0.0579             0.022035           1.0018      -46.777567     
9000       75.69        21.772      1.789              0.717      429.388447        1.944            0.434        0.062642           0.014808           0.9345      -50.580789     
12000      77.48        21.768      1.792              0.717      563.132334        1.86             0.339        0.061233           0.011193           0.8963      -54.413284     
15000      79.28        21.772      1.789              0.717      691.560223        1.812            0.281        0.061229           0.009023           0.8642      -58.267264     
18000      81.07        21.784      1.781              0.717      809.599253        1.788            0.244        0.062642           0.007575           0.8314      -62.139321     
21000      82.86        21.805      1.767              0.717      910.594791        1.778            0.217        0.06454            0.006541           0.798       -66.02729      
24000      84.66        21.833      1.749              0.717      989.276065        2.301            0.199        0.111331           0.005764           0.7647      -69.930226     
27000      86.45        21.868      1.726              0.717      1043.309966       2.036            0.184        0.088589           0.00516            0.732       -73.84727      
30000      88.24        21.907      1.692              0.717      1073.216988       1.906            0.173        0.077974           0.004676           0.7001      -77.776939     


                                                                                     
# NOTES:                                                                                
#     u.c. : unit cell                                                                  
#     a.m.u. : atomic mass unit                                                         

                                                                                       
#     E_F: Fermi energy                                                                 
#     N(E_F): Electronic DOS at E_F                                                     
#     γ : Gruneisen paramater                                                           
#     C_e: Electronic specific heat                                                     
#     v_F: Fermi velocity                                                               
#     τ_e: Electron scattering time                                                     
#     κ_e: Electronic thermal conductivity                                              
#     κ_lat: Lattice thermal conductivity                                               
#     λ: Electron-phonon mass enhancement parameter                                     
#     G_e: Electron-phonon coupling factor                                              

                                                                                       
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                       
#      κ_e=v_F^2 C_e τ_e /3 
                                                           
          πℏλ < ω^2 >
#   G_e=-(----------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
              N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                   
