# SYSTEM: Ni-0.15_Xx3-0.85                   
#     Crystal structure:  face centered cubic
#     Lattice parameter(s): a= 6.526 a.u.    
#     Mass: 56.0095 a.m.u.                   
#     Density of solid: 9032.9 kg m^-3       
#     Bulk modulus: 293.151 GPa              
#     Young modulus: 447.956 GPa             
#     Shear modulus: 180.069 GPa             
#     Debye temperture: 668.334  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        69.58        21.957      1.668              0.642      5.187862          1.351            41.312       0.036774           1.778838           0.8828      -5.835955      
200        69.63        21.956      1.668              0.661      10.369146         1.313            26.466       0.055246           0.848897           0.689       -9.635876      
300        69.69        21.956      1.668              0.665      15.541751         1.327            19.444       0.067128           0.560644           0.6252      -13.379194     
400        69.75        21.955      1.669              0.665      20.705706         1.342            15.357       0.075162           0.42023            0.5937      -17.097763     
500        69.81        21.954      1.669              0.663      25.861213         1.336            12.558       0.077349           0.337769           0.5808      -20.799734     
600        69.87        21.954      1.67               0.66       31.008623         1.345            10.608       0.080217           0.284054           0.573       -24.496226     
700        69.93        21.953      1.67               0.654      36.148435         1.349            9.205        0.082284           0.246713           0.566       -28.191572     
800        69.99        21.953      1.67               0.648      41.281243         1.357            8.142        0.084808           0.219548           0.5599      -31.886273     
900        70.05        21.953      1.67               0.64       46.407683         1.371            7.296        0.087714           0.199103           0.5554      -35.580032     
1000       70.1         21.953      1.67               0.631      51.52838          1.38             6.598        0.089588           0.183129           0.5527      -39.272775     
3000       71.15        21.957      1.667              0.631      152.306388        2.123            2.127        0.19717            0.061347           0.5714      -42.928899     
6000       72.73        21.964      1.664              0.631      298.194936        1.904            1.114        0.168097           0.030898           0.5454      -46.659773     
9000       74.31        21.956      1.668              0.631      440.576499        1.83             0.773        0.163744           0.020747           0.524       -50.454278     
12000      75.88        21.951      1.671              0.631      580.495941        1.879            0.597        0.179202           0.015669           0.5088      -54.277174     
15000      77.46        21.959      1.666              0.631      715.721779        1.974            0.491        0.203937           0.012622           0.4953      -58.116068     
18000      79.04        21.98       1.655              0.631      840.190599        2.066            0.421        0.229712           0.010589           0.4806      -61.968878     
21000      80.61        22.011      1.644              0.631      946.243503        2.153            0.373        0.254401           0.009136           0.4648      -65.835329     
24000      82.19        22.05       1.631              0.631      1027.990645       1.618            0.338        0.144696           0.008046           0.4483      -69.714677     
27000      83.76        22.097      1.609              0.631      1082.984731       1.943            0.312        0.207843           0.007197           0.4315      -73.604969     
30000      85.34        22.148      1.582              0.631      1112.023007       2.133            0.292        0.246482           0.006518           0.4147      -77.50694      


                                                                                     
# NOTES:                                                                                
#     u.c. : unit cell                                                                  
#     a.m.u. : atomic mass unit                                                         

                                                                                       
#     E_F: Fermi energy                                                                 
#     N(E_F): Electronic DOS at E_F                                                     
#     γ : Gruneisen paramater                                                           
#     C_e: Electronic specific heat                                                     
#     v_F: Fermi velocity                                                               
#     τ_e: Electron scattering time                                                     
#     κ_e: Electronic thermal conductivity                                              
#     κ_lat: Lattice thermal conductivity                                               
#     λ: Electron-phonon mass enhancement parameter                                     
#     G_e: Electron-phonon coupling factor                                              

                                                                                       
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                       
#      κ_e=v_F^2 C_e τ_e /3 
                                                           
          πℏλ < ω^2 >
#   G_e=-(----------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
              N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                   
