# SYSTEM: Ni-0.1_Xx3-0.9                     
#     Crystal structure:  face centered cubic
#     Lattice parameter(s): a= 6.5319 a.u.   
#     Mass: 55.8516 a.m.u.                   
#     Density of solid: 8983.08 kg m^-3      
#     Bulk modulus: 295.05 GPa               
#     Young modulus: 442.809 GPa             
#     Shear modulus: 177.41 GPa              
#     Debye temperture: 663.737  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        69.77        21.907      1.716              0.668      5.169396          1.687            16.222       0.007537           1.627809           2.2482      -5.536473      
200        69.82        21.907      1.717              0.684      10.33174          1.585            16.432       0.031947           0.78359            1.1097      -9.536341      
300        69.88        21.907      1.717              0.687      15.484992         1.56             14.168       0.05155            0.51862            0.858       -13.338059     
400        69.95        21.907      1.717              0.687      20.629039         1.581            11.976       0.066365           0.389103           0.7613      -17.080145     
500        70.01        21.907      1.717              0.685      25.764002         1.563            10.052       0.070781           0.312922           0.7256      -20.791327     
600        70.07        21.907      1.716              0.681      30.890273         1.572            8.506        0.073641           0.263271           0.7146      -24.488869     
700        70.13        21.908      1.716              0.676      36.008438         1.579            7.297        0.074348           0.228717           0.714       -28.180865     
800        70.19        21.908      1.715              0.669      41.119163         1.585            6.352        0.074086           0.203571           0.7177      -31.871031     
900        70.25        21.909      1.715              0.661      46.223138         1.568            5.605        0.071571           0.18469            0.7229      -35.561116     
1000       70.31        21.909      1.714              0.652      51.321028         1.566            5.009        0.070401           0.169889           0.728       -39.252079     
3000       71.39        21.917      1.705              0.652      151.615022        2.126            1.671        0.127936           0.056919           0.7274      -42.949031     
6000       73.02        21.924      1.698              0.652      296.5837          1.994            0.9          0.126062           0.028674           0.6754      -46.687814     
9000       74.65        21.918      1.705              0.652      437.614678        1.873            0.633        0.120499           0.019257           0.6399      -50.484805     
12000      76.27        21.913      1.71               0.652      575.824799        1.897            0.492        0.129823           0.014547           0.6177      -54.309886     
15000      77.9         21.919      1.704              0.652      709.197181        1.973            0.406        0.146222           0.01172            0.5985      -58.151446     
18000      79.53        21.936      1.685              0.652      832.005144        2.061            0.35         0.165583           0.009834           0.5784      -62.006507     
21000      81.16        21.964      1.659              0.652      936.917878        2.145            0.311        0.18451            0.008486           0.5573      -65.874498     
24000      82.79        21.999      1.634              0.652      1018.223063       1.65             0.283        0.110921           0.007475           0.536       -69.756629     
27000      84.41        22.041      1.617              0.652      1073.470585       1.958            0.262        0.156737           0.006688           0.5147      -73.654744     
30000      86.04        22.088      1.603              0.652      1103.325624       2.165            0.246        0.189818           0.006057           0.4937      -77.567386     


                                                                                     
# NOTES:                                                                                
#     u.c. : unit cell                                                                  
#     a.m.u. : atomic mass unit                                                         

                                                                                       
#     E_F: Fermi energy                                                                 
#     N(E_F): Electronic DOS at E_F                                                     
#     γ : Gruneisen paramater                                                           
#     C_e: Electronic specific heat                                                     
#     v_F: Fermi velocity                                                               
#     τ_e: Electron scattering time                                                     
#     κ_e: Electronic thermal conductivity                                              
#     κ_lat: Lattice thermal conductivity                                               
#     λ: Electron-phonon mass enhancement parameter                                     
#     G_e: Electron-phonon coupling factor                                              

                                                                                       
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                       
#      κ_e=v_F^2 C_e τ_e /3 
                                                           
          πℏλ < ω^2 >
#   G_e=-(----------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
              N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                   
