# SYSTEM: Ni                                 
#     Crystal structure:  face centered cubic
#     Lattice parameter(s): a= 6.6465 a.u.   
#     Mass: 58.6934 a.m.u.                   
#     Density of solid: 8960.31 kg m^-3      
#     Bulk modulus: 200.574 GPa              
#     Young modulus: 195.414 GPa             
#     Shear modulus: 73.1941 GPa             
#     Debye temperture: 423.136  K 

             
# T_e      Volume       E_F         N(E_F)             γ          C_e               v_F              τ_e          κ_e                κ_lat              λ           Log10[G_e]     
#                                                                 x10^-6            x10^5            x10^-15                                                                       
# [K]      [a_0^3]      [eV]        [1/(eV u.c.)]                 [eV/(A^3 K)]      [x10^5 m/s]      [s]          [eV/(A K ps)]      [eV/(A K ps)]                  [eV/(A^3 K ps)]
     
100        73.53        19.803      3.604              0.55       4.437578          1.021            95.546       0.077239           0.602289           0.3817      -6.104402      
200        73.59        19.804      3.598              0.567      8.868333          1.009            59.013       0.103606           0.289623           0.309       -9.948056      
300        73.66        19.805      3.589              0.571      13.290641         0.993            41.419       0.108088           0.191282           0.2935      -13.723825     
400        73.74        19.806      3.581              0.571      17.705258         0.993            31.935       0.112382           0.143319           0.2855      -17.491625     
500        73.82        19.806      3.573              0.57       22.113077         0.999            26.209       0.117926           0.115192           0.2783      -21.259987     
600        73.89        19.807      3.563              0.566      26.515101         1.004            22.454       0.123927           0.096922           0.2707      -25.030438     
700        73.97        19.808      3.552              0.56       30.912474         1.021            19.802       0.133282           0.084246           0.2631      -28.801956     
800        74.04        19.81       3.541              0.553      35.306423         1.029            17.821       0.140908           0.075044           0.2558      -32.573673     
900        74.11        19.811      3.528              0.544      39.698192         1.032            16.287       0.147239           0.068143           0.2488      -36.345287     
1000       74.17        19.812      3.515              0.534      44.088979         1.028            15.039       0.151162           0.062733           0.2425      -40.11587      
3000       75.41        19.849      3.051              0.534      131.706822        1.415            6.535        0.408401           0.021027           0.186       -44.189863     
6000       77.28        19.937      1.727              0.534      263.529437        1.582            3.753        0.611193           0.0106             0.1618      -47.938079     
9000       79.15        20.046      0.679              0.534      396.471568        1.646            2.609        0.700706           0.007123           0.1543      -51.427171     
12000      81.01        20.166      0.455              0.534      529.553319        1.733            1.948        0.776077           0.005384           0.1534      -55.129263     
15000      82.88        20.295      0.343              0.534      657.061588        1.835            1.5          0.826695           0.00434            0.1568      -58.882356     
18000      84.74        20.429      0.385              0.534      767.461366        1.925            1.21         0.849175           0.003643           0.162       -62.818858     
21000      86.61        20.567      0.349              0.534      849.275636        1.999            0.993        0.824271           0.003146           0.1672      -66.67538      
24000      88.47        20.709      0.301              0.534      896.914916        0.937            0.832        0.159199           0.002772           0.1713      -70.52548      
27000      90.34        20.853      0.345              0.534      911.59982         1.014            0.733        0.166199           0.002481           0.1736      -74.516449     
30000      92.2         20.998      0.314              0.534      899.029357        1.22             0.646        0.209253           0.002248           0.1739      -78.425799     


                                                                                         
# NOTES:                                                                                    
#     u.c. : unit cell                                                                      
#     a.m.u. : atomic mass unit                                                             

                                                                                           
#     E_F: Fermi energy                                                                     
#     N(E_F): Electronic DOS at E_F                                                         
#     γ : Gruneisen paramater                                                               
#     C_e: Electronic specific heat                                                         
#     v_F: Fermi velocity                                                                   
#     τ_e: Electron scattering time                                                         
#     κ_e: Electronic thermal conductivity                                                  
#     κ_lat: Lattice thermal conductivity                                                   
#     λ: Electron-phonon mass enhancement parameter                                         
#     G_e: Electron-phonon coupling factor                                                  

                                                                                           
#     C_e=∫(ϵ-E_F) (∂ f[ϵ,μ,T_e]/∂ T_e) N(ϵ) dϵ 
                                           
#      κ_e=v_F^2 C_e τ_e /3 
                                                               
          π\ℏ\λ\ < ω^2 >
#   G_e=-(-------------------)∫(∂ f[ϵ,μ,T_e]/∂ ϵ) N^2(ϵ) dϵ 
                N (E_F)
#     λ<ω^2>=2∫α^2 F(ω) ω dω , α^2 F(ω): Eliashberg spectral function                       
